% This database was designed on the basis of data provided by US Census
% Bureau [http://www.census.gov] (under Lookup Access
% [http://www.census.gov/cdrom/lookup]: Summary Tape File 1). The data
% were collected as part of the 1990 US census. These are mostly counts
% cumulated at different survey levels. For the purpose of this data set
% a level State-Place was used. Data from all states was obtained. Most
% of the counts were changed into appropriate proportions.  There are 4
% different data sets obtained from this database: House(8H) House(8L)
% House(16H) House(16L) These are all concerned with predicting the
% median price of the house in the region based on demographic
% composition and a state of housing market in the region. A number in
% the name signifies the number of attributes of the data set. A
% following letter denotes a very rough approximation to the difficulty
% of the task. For Low task difficulty, more correlated attributes were
% chosen as signified by univariate smooth fit of that input on the
% target. Tasks with High difficulty have had their attributes chosen to
% make the modelling more difficult due to higher variance or lower
% correlation of the inputs to the target.
% 
% Original source: DELVE repository of data. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 22784 cases, 9 continuous attributes.
@relation house_8L.arff
@attribute P3 {<=80.0,(80.0;163.0],(163.0;295.0],(295.0;506.0],(506.0;883.0],(883.0;1683.0],(1683.0;4100.0],>4100.0}
@attribute P6p4 {<=0.0,(0.0;0.0],(0.0;0.00095],(0.00095;0.00236],(0.00236;0.00423],(0.00423;0.00742],(0.00742;0.01614],>0.01614}
@attribute P11p3 {<=0.42350,(0.42350;0.44875],(0.44875;0.46694],(0.46694;0.48337],(0.48337;0.50010],(0.50010;0.52173],(0.52173;0.54791],>0.54791}
@attribute P16p2 {<=0.625,(0.625;0.66228],(0.66228;0.68909],(0.68909;0.71428],(0.71428;0.74074],(0.74074;0.77102],(0.77102;0.81373],>0.81373}
@attribute P19p2 {<=0.0,(0.0;0.0],(0.0;0.0],(0.0;0.00253],(0.00253;0.00801],(0.00801;0.02992],(0.02992;0.14224],>0.14224}
@attribute H5p2 {<=0.02141,(0.02141;0.07934],(0.07934;0.11538],(0.11538;0.14782],(0.14782;0.18181],(0.18181;0.23076],(0.23076;0.31914],>0.31914}
@attribute H15p1 {<=5.27625,(5.27625;5.54829],(5.54829;5.75581],(5.75581;5.95833],(5.95833;6.15],(6.15;6.36307],(6.36307;6.70776],>6.70776}
@attribute H40p4 {<=0.0,(0.0;0.24324],(0.24324;0.38709],(0.38709;0.5],(0.5;0.61538],(0.61538;0.75],(0.75;1.0],>1.0}
@attribute class {<=18400.0,(18400.0;28100.0],(28100.0;39800.0],(39800.0;65200.0],>65200.0}

@data
<=80.0,<=0.0,<=0.42350,(0.71428;0.74074],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(80.0;163.0],<=0.0,(0.48337;0.50010],(0.68909;0.71428],(0.02992;0.14224],<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],>0.01614,(0.48337;0.50010],(0.68909;0.71428],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(163.0;295.0],(0.00095;0.00236],(0.42350;0.44875],(0.74074;0.77102],<=0.0,(0.23076;0.31914],(5.75581;5.95833],<=0.0,<=18400.0
(163.0;295.0],<=0.0,(0.48337;0.50010],>0.81373,<=0.0,(0.18181;0.23076],(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(80.0;163.0],(0.00423;0.00742],(0.46694;0.48337],(0.66228;0.68909],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(163.0;295.0],>0.01614,(0.48337;0.50010],(0.74074;0.77102],<=0.0,(0.07934;0.11538],(5.75581;5.95833],<=0.0,(39800.0;65200.0]
(295.0;506.0],<=0.0,(0.48337;0.50010],(0.66228;0.68909],>0.14224,(0.11538;0.14782],(5.75581;5.95833],<=0.0,(18400.0;28100.0]
<=80.0,<=0.0,<=0.42350,(0.77102;0.81373],>0.14224,<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
<=80.0,<=0.0,<=0.42350,<=0.625,<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,(0.48337;0.50010],(0.68909;0.71428],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(295.0;506.0],(0.00095;0.00236],(0.48337;0.50010],(0.71428;0.74074],(0.02992;0.14224],(0.02141;0.07934],(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(163.0;295.0],(0.00095;0.00236],(0.46694;0.48337],(0.77102;0.81373],<=0.0,(0.18181;0.23076],(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(163.0;295.0],<=0.0,(0.48337;0.50010],(0.74074;0.77102],(0.00253;0.00801],(0.02141;0.07934],(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(163.0;295.0],<=0.0,(0.50010;0.52173],(0.77102;0.81373],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],<=0.0,<=0.42350,(0.71428;0.74074],>0.14224,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(163.0;295.0],<=0.0,(0.44875;0.46694],(0.68909;0.71428],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(80.0;163.0],<=0.0,(0.44875;0.46694],(0.74074;0.77102],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(39800.0;65200.0]
(80.0;163.0],<=0.0,(0.42350;0.44875],(0.77102;0.81373],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
<=80.0,<=0.0,(0.52173;0.54791],(0.68909;0.71428],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
<=80.0,<=0.0,(0.52173;0.54791],>0.81373,<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
<=80.0,<=0.0,(0.42350;0.44875],<=0.625,<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(80.0;163.0],<=0.0,(0.44875;0.46694],<=0.625,(0.02992;0.14224],(0.02141;0.07934],(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],<=0.0,(0.44875;0.46694],(0.68909;0.71428],<=0.0,>0.31914,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
<=80.0,<=0.0,<=0.42350,<=0.625,<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,(0.46694;0.48337],(0.68909;0.71428],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(163.0;295.0],(0.00236;0.00423],<=0.42350,(0.625;0.66228],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,(0.52173;0.54791],>0.81373,<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(163.0;295.0],<=0.0,(0.44875;0.46694],(0.74074;0.77102],>0.14224,<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(163.0;295.0],<=0.0,(0.50010;0.52173],(0.77102;0.81373],>0.14224,(0.11538;0.14782],(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(80.0;163.0],(0.00236;0.00423],(0.44875;0.46694],(0.71428;0.74074],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,<=0.42350,(0.68909;0.71428],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,>0.54791,(0.66228;0.68909],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(295.0;506.0],(0.00095;0.00236],<=0.42350,(0.625;0.66228],>0.14224,<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(163.0;295.0],<=0.0,(0.44875;0.46694],(0.66228;0.68909],>0.14224,<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],<=0.0,(0.42350;0.44875],(0.68909;0.71428],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],<=0.0,(0.48337;0.50010],(0.68909;0.71428],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(163.0;295.0],<=0.0,(0.48337;0.50010],(0.66228;0.68909],(0.00801;0.02992],<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],(0.00742;0.01614],>0.54791,(0.625;0.66228],(0.00253;0.00801],<=0.02141,(5.75581;5.95833],<=0.0,>65200.0
<=80.0,<=0.0,(0.50010;0.52173],(0.74074;0.77102],(0.02992;0.14224],<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(163.0;295.0],<=0.0,(0.48337;0.50010],(0.77102;0.81373],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(295.0;506.0],(0.00742;0.01614],(0.44875;0.46694],(0.625;0.66228],<=0.0,(0.07934;0.11538],(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(80.0;163.0],<=0.0,(0.48337;0.50010],(0.68909;0.71428],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(295.0;506.0],(0.00236;0.00423],(0.46694;0.48337],(0.77102;0.81373],<=0.0,(0.07934;0.11538],(5.75581;5.95833],<=0.0,(39800.0;65200.0]
<=80.0,<=0.0,(0.52173;0.54791],(0.74074;0.77102],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,(0.42350;0.44875],<=0.625,<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(80.0;163.0],<=0.0,(0.48337;0.50010],(0.74074;0.77102],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
<=80.0,<=0.0,>0.54791,(0.74074;0.77102],(0.00801;0.02992],(0.11538;0.14782],(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(80.0;163.0],(0.00742;0.01614],>0.54791,(0.77102;0.81373],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(39800.0;65200.0]
<=80.0,<=0.0,(0.50010;0.52173],(0.66228;0.68909],<=0.0,>0.31914,(5.75581;5.95833],<=0.0,(39800.0;65200.0]
<=80.0,<=0.0,(0.46694;0.48337],(0.74074;0.77102],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,(0.42350;0.44875],<=0.625,<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,(0.50010;0.52173],>0.81373,<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(163.0;295.0],<=0.0,(0.44875;0.46694],(0.71428;0.74074],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,(0.42350;0.44875],(0.625;0.66228],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,(0.00742;0.01614],(0.50010;0.52173],(0.68909;0.71428],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(163.0;295.0],(0.00742;0.01614],(0.42350;0.44875],<=0.625,<=0.0,(0.18181;0.23076],(5.75581;5.95833],<=0.0,(18400.0;28100.0]
<=80.0,<=0.0,<=0.42350,<=0.625,<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,(0.46694;0.48337],<=0.625,>0.14224,<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
<=80.0,<=0.0,(0.42350;0.44875],(0.77102;0.81373],<=0.0,(0.07934;0.11538],(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,<=0.42350,(0.77102;0.81373],>0.14224,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,<=0.42350,>0.81373,<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(506.0;883.0],(0.00236;0.00423],(0.50010;0.52173],(0.68909;0.71428],(0.00253;0.00801],<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(295.0;506.0],(0.00742;0.01614],<=0.42350,<=0.625,<=0.0,(0.11538;0.14782],(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],(0.00742;0.01614],(0.48337;0.50010],(0.74074;0.77102],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(39800.0;65200.0]
(295.0;506.0],<=0.0,(0.42350;0.44875],<=0.625,(0.0;0.00253],(0.02141;0.07934],(5.75581;5.95833],<=0.0,(18400.0;28100.0]
<=80.0,<=0.0,(0.50010;0.52173],(0.77102;0.81373],(0.02992;0.14224],<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],<=0.0,(0.48337;0.50010],(0.68909;0.71428],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
<=80.0,(0.00423;0.00742],(0.44875;0.46694],(0.77102;0.81373],<=0.0,>0.31914,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,(0.52173;0.54791],>0.81373,>0.14224,(0.18181;0.23076],(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],<=0.0,<=0.42350,(0.66228;0.68909],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(80.0;163.0],<=0.0,(0.44875;0.46694],(0.77102;0.81373],(0.00801;0.02992],(0.18181;0.23076],(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(506.0;883.0],<=0.0,(0.44875;0.46694],(0.66228;0.68909],(0.02992;0.14224],(0.07934;0.11538],(5.75581;5.95833],<=0.0,(28100.0;39800.0]
<=80.0,<=0.0,<=0.42350,(0.77102;0.81373],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,<=0.42350,(0.625;0.66228],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,(0.46694;0.48337],(0.74074;0.77102],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(163.0;295.0],<=0.0,(0.50010;0.52173],(0.66228;0.68909],(0.00253;0.00801],<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
<=80.0,<=0.0,(0.46694;0.48337],(0.71428;0.74074],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(80.0;163.0],(0.00423;0.00742],(0.46694;0.48337],(0.625;0.66228],(0.00253;0.00801],(0.02141;0.07934],(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(163.0;295.0],<=0.0,<=0.42350,(0.66228;0.68909],<=0.0,(0.07934;0.11538],(5.75581;5.95833],<=0.0,<=18400.0
(80.0;163.0],<=0.0,(0.46694;0.48337],(0.77102;0.81373],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(163.0;295.0],<=0.0,(0.44875;0.46694],(0.625;0.66228],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(80.0;163.0],<=0.0,(0.46694;0.48337],(0.66228;0.68909],<=0.0,(0.02141;0.07934],(5.75581;5.95833],<=0.0,<=18400.0
(295.0;506.0],<=0.0,(0.52173;0.54791],>0.81373,<=0.0,(0.14782;0.18181],(5.75581;5.95833],<=0.0,(28100.0;39800.0]
<=80.0,<=0.0,(0.52173;0.54791],(0.74074;0.77102],<=0.0,(0.18181;0.23076],(5.75581;5.95833],<=0.0,<=18400.0
(506.0;883.0],(0.00095;0.00236],<=0.42350,(0.66228;0.68909],<=0.0,(0.23076;0.31914],(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(1683.0;4100.0],(0.00742;0.01614],(0.44875;0.46694],(0.625;0.66228],(0.0;0.00253],(0.02141;0.07934],(5.75581;5.95833],<=0.0,>65200.0
(80.0;163.0],<=0.0,(0.42350;0.44875],(0.625;0.66228],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(80.0;163.0],<=0.0,(0.48337;0.50010],(0.77102;0.81373],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(295.0;506.0],<=0.0,(0.48337;0.50010],(0.71428;0.74074],>0.14224,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
<=80.0,<=0.0,(0.42350;0.44875],(0.625;0.66228],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,>0.54791,<=0.625,<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(80.0;163.0],<=0.0,(0.52173;0.54791],(0.77102;0.81373],(0.00253;0.00801],(0.23076;0.31914],(5.75581;5.95833],<=0.0,(28100.0;39800.0]
<=80.0,<=0.0,(0.50010;0.52173],<=0.625,<=0.0,>0.31914,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,(0.52173;0.54791],(0.77102;0.81373],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(80.0;163.0],<=0.0,(0.42350;0.44875],(0.66228;0.68909],<=0.0,(0.02141;0.07934],(5.75581;5.95833],<=0.0,<=18400.0
(80.0;163.0],<=0.0,<=0.42350,<=0.625,<=0.0,(0.18181;0.23076],(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(163.0;295.0],(0.00095;0.00236],<=0.42350,(0.625;0.66228],<=0.0,(0.14782;0.18181],(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(295.0;506.0],(0.0;0.00095],(0.52173;0.54791],(0.74074;0.77102],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(39800.0;65200.0]
(80.0;163.0],<=0.0,(0.42350;0.44875],(0.625;0.66228],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],<=0.0,(0.46694;0.48337],(0.71428;0.74074],<=0.0,(0.14782;0.18181],(5.75581;5.95833],<=0.0,(18400.0;28100.0]
<=80.0,<=0.0,(0.50010;0.52173],(0.66228;0.68909],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,(0.00742;0.01614],(0.50010;0.52173],(0.625;0.66228],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
<=80.0,<=0.0,(0.48337;0.50010],>0.81373,<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,(0.50010;0.52173],(0.68909;0.71428],<=0.0,(0.07934;0.11538],(5.75581;5.95833],<=0.0,(39800.0;65200.0]
<=80.0,<=0.0,>0.54791,<=0.625,<=0.0,>0.31914,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],(0.00423;0.00742],(0.42350;0.44875],(0.74074;0.77102],(0.00253;0.00801],<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],(0.00236;0.00423],(0.42350;0.44875],(0.66228;0.68909],(0.00801;0.02992],<=0.02141,(5.75581;5.95833],<=0.0,(39800.0;65200.0]
(163.0;295.0],<=0.0,>0.54791,>0.81373,(0.00253;0.00801],<=0.02141,(5.75581;5.95833],<=0.0,>65200.0
(506.0;883.0],<=0.0,(0.50010;0.52173],(0.77102;0.81373],(0.0;0.00253],(0.14782;0.18181],(5.75581;5.95833],<=0.0,(39800.0;65200.0]
<=80.0,<=0.0,(0.46694;0.48337],<=0.625,<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
<=80.0,<=0.0,(0.48337;0.50010],(0.68909;0.71428],>0.14224,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(80.0;163.0],(0.00236;0.00423],(0.52173;0.54791],(0.625;0.66228],(0.02992;0.14224],<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],(0.00236;0.00423],(0.52173;0.54791],(0.71428;0.74074],<=0.0,(0.11538;0.14782],(5.75581;5.95833],<=0.0,<=18400.0
(163.0;295.0],(0.00236;0.00423],(0.50010;0.52173],(0.74074;0.77102],<=0.0,(0.23076;0.31914],(5.75581;5.95833],<=0.0,(39800.0;65200.0]
(80.0;163.0],<=0.0,>0.54791,(0.71428;0.74074],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
(80.0;163.0],<=0.0,(0.44875;0.46694],>0.81373,>0.14224,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(163.0;295.0],(0.00236;0.00423],<=0.42350,(0.625;0.66228],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(295.0;506.0],(0.00095;0.00236],(0.48337;0.50010],(0.71428;0.74074],>0.14224,(0.07934;0.11538],(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(883.0;1683.0],(0.00423;0.00742],(0.52173;0.54791],(0.77102;0.81373],(0.00801;0.02992],(0.23076;0.31914],(5.75581;5.95833],<=0.0,(39800.0;65200.0]
<=80.0,<=0.0,(0.50010;0.52173],(0.77102;0.81373],<=0.0,>0.31914,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],<=0.0,(0.48337;0.50010],(0.71428;0.74074],>0.14224,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
<=80.0,<=0.0,(0.50010;0.52173],(0.74074;0.77102],<=0.0,(0.07934;0.11538],(5.75581;5.95833],<=0.0,(18400.0;28100.0]
<=80.0,<=0.0,(0.50010;0.52173],(0.77102;0.81373],<=0.0,(0.23076;0.31914],(5.75581;5.95833],<=0.0,(18400.0;28100.0]
<=80.0,<=0.0,>0.54791,(0.77102;0.81373],<=0.0,(0.11538;0.14782],(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(80.0;163.0],(0.00236;0.00423],(0.48337;0.50010],(0.77102;0.81373],>0.14224,(0.07934;0.11538],(5.75581;5.95833],<=0.0,<=18400.0
(80.0;163.0],<=0.0,(0.46694;0.48337],(0.74074;0.77102],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,(28100.0;39800.0]
(295.0;506.0],(0.00742;0.01614],(0.44875;0.46694],<=0.625,(0.00253;0.00801],<=0.02141,(5.75581;5.95833],<=0.0,(18400.0;28100.0]
(163.0;295.0],(0.00095;0.00236],(0.44875;0.46694],(0.77102;0.81373],>0.14224,(0.02141;0.07934],(5.75581;5.95833],<=0.0,(39800.0;65200.0]
<=80.0,<=0.0,(0.52173;0.54791],(0.71428;0.74074],<=0.0,<=0.02141,(5.75581;5.95833],<=0.0,<=18400.0
