% The Computer Activity databases are a collection of computer systems
% activity measures. The data was collected from a Sun Sparcstation
% 20/712 with 128 Mbytes of memory running in a multi-user university
% department. Users would typically be doing a large variety of tasks
% ranging from accessing the internet, editing files or running very
% cpu-bound programs.  The data was collected continuously on two
% separate occasions. On both occassions, system activity was gathered
% every 5 seconds. The final dataset is taken from both occasions with
% equal numbers of observations coming from each collection epoch.
% 
% System measures used:
% 1. lread - Reads (transfers per second ) between system memory and user memory.
% 2. lwrite - writes (transfers per second) between system memory and user memory.
% 3. scall - Number of system calls of all types per second.
% 4. sread - Number of system read calls per second.
% 5. swrite - Number of system write calls per second . 
% 6. fork - Number of system fork calls per second. 
% 7. exec - Number of system exec calls per second. 
% 8. rchar - Number of characters transferred per second by system read calls.
% 9. wchar - Number of characters transfreed per second by system write calls. 
% 10. pgout - Number of page out requests per second.
% 11. ppgout - Number of pages, paged out per second. 
% 12. pgfree - Number of pages per second placed on the free list. 
% 13. pgscan - Number of pages checked if they can be freed per second.
% 14. atch - Number of page attaches (satisfying a page fault by reclaiming a page in memory) per second.
% 15. pgin - Number of page-in requests per second.
% 16. ppgin - Number of pages paged in per second.
% 17. pflt - Number of page faults caused by protection errors (copy-on-writes). 
% 18. vflt - Number of page faults caused by address translation. 
% 19. runqsz - Process run queue size.
% 20. freemem - Number of memory pages available to user processes.
% 21. freeswap - Number of disk blocks available for page swapping. 
% 22. usr - Portion of time (%) that cpus run in user mode.
% 23. sys - Portion of time (%) that cpus run in system mode.
% 24. wio - Portion of time (%) that cpus are idle waiting for block IO.
% 25. idle - Portion of time (%) that cpus are otherwise idle.
% 
% The two different regression tasks obtained from these databases are:
% 
% CompAct 
% Predict usr, the portion of time that cpus run in user mode from all attributes 1-21.
% 
% CompAct(s) 
% Predict usr using a restricted number (excluding the paging information (10-18)
% 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original source: DELVE repository of data. 
% Characteristics: 8192 cases, 22 continuous attributes
@relation cpu_act
@attribute lread {<=1.0,(1.0;2.0],(2.0;4.0],(4.0;7.0],(7.0;12.0],(12.0;20.0],(20.0;39.0],>39.0}
@attribute lwrite {<=0.0,(0.0;0.0],(0.0;1.0],(1.0;1.0],(1.0;4.0],(4.0;10.0],(10.0;38.0],>38.0}
@attribute scall {<=442.0,(442.0;1012.0],(1012.0;1522.0],(1522.0;2051.0],(2051.0;2579.0],(2579.0;3317.0],(3317.0;4275.0],>4275.0}
@attribute sread {<=46.0,(46.0;86.0],(86.0;125.0],(125.0;166.0],(166.0;213.0],(213.0;279.0],(279.0;390.0],>390.0}
@attribute swrite {<=36.0,(36.0;63.0],(63.0;90.0],(90.0;117.0],(117.0;146.0],(146.0;185.0],(185.0;264.0],>264.0}
@attribute fork {<=0.2,(0.2;0.4],(0.4;0.6],(0.6;0.8],(0.8;1.4],(1.4;2.2],(2.2;4.59],>4.59}
@attribute exec {<=0.2,(0.2;0.2],(0.2;0.6],(0.6;1.2],(1.2;1.8],(1.8;2.8],(2.8;4.8],>4.8}
@attribute rchar {<=9974.0,(9974.0;33847.0],(33847.0;77186.0],(77186.0;124777.],(124777.;187208.],(187208.;267659.],(267659.;409706.],>409706.}
@attribute wchar {<=13634.0,(13634.0;22916.0],(22916.0;32224.0],(32224.0;46619.0],(46619.0;66921.0],(66921.0;106148.],(106148.;199568.],>199568.}
@attribute pgout {<=0.0,(0.0;0.0],(0.0;0.0],(0.0;0.0],(0.0;0.4],(0.4;2.4],(2.4;5.99],>5.99}
@attribute ppgout {<=0.0,(0.0;0.0],(0.0;0.0],(0.0;0.0],(0.0;0.6],(0.6;4.2],(4.2;15.03],>15.03}
@attribute pgfree {<=0.0,(0.0;0.0],(0.0;0.0],(0.0;0.0],(0.0;0.6],(0.6;5.0],(5.0;28.2],>28.2}
@attribute pgscan {<=0.0,(0.0;0.0],(0.0;0.0],(0.0;0.0],(0.0;0.0],(0.0;0.0],(0.0;43.0],>43.0}
@attribute atch {<=0.0,(0.0;0.0],(0.0;0.0],(0.0;0.0],(0.0;0.2],(0.2;0.6],(0.6;1.8],>1.8}
@attribute pgin {<=0.0,(0.0;0.6],(0.6;1.4],(1.4;2.8],(2.8;5.21],(5.21;9.76],(9.76;19.24],>19.24}
@attribute ppgin {<=0.0,(0.0;0.6],(0.6;1.8],(1.8;3.8],(3.8;7.58],(7.58;13.8],(13.8;28.2],>28.2}
@attribute pflt {<=15.77,(15.77;25.0],(25.0;41.28],(41.28;63.8],(63.8;100.0],(100.0;159.6],(159.6;244.4],>244.4}
@attribute vflt {<=19.2,(19.2;45.4],(45.4;78.2],(78.2;120.4],(120.4;174.0],(174.0;251.8],(251.8;411.6],>411.6}
@attribute runqsz {<=1.0,(1.0;1.2],(1.2;1.6],(1.6;2.0],(2.0;2.4],(2.4;3.0],(3.0;4.2],>4.2}
@attribute freemem {<=156.0,(156.0;231.0],(231.0;357.0],(357.0;579.0],(579.0;973.0],(973.0;2002.0],(2002.0;5757.0],>5757.0}
@attribute freeswap {<=1001614,(1001614;1042622],(1042622;1085352],(1085352;1288742],(1288742;1544781],(1544781;1730376],(1730376;1828408],>1828408}
@attribute class {<=73.0,(73.0;80.0],(80.0;85.0],(85.0;88.0],(88.0;90.0],(90.0;92.0],(92.0;94.0],(94.0;96.0],>96.0}

@data
(20.0;39.0],>38.0,(1012.0;1522.0],<=46.0,(36.0;63.0],<=0.2,<=0.2,<=9974.0,(13634.0;22916.0],<=0.0,<=0.0,<=0.0,<=0.0,<=0.0,(0.0;0.6],(0.0;0.6],(15.77;25.0],(19.2;45.4],>4.2,<=156.0,<=1001614,<=73.0
(4.0;7.0],(4.0;10.0],(442.0;1012.0],(46.0;86.0],(63.0;90.0],(0.6;0.8],(0.2;0.6],(187208.;267659.],(22916.0;32224.0],(2.4;5.99],(4.2;15.03],(5.0;28.2],(0.0;43.0],<=0.0,(5.21;9.76],(3.8;7.58],(41.28;63.8],(45.4;78.2],>4.2,<=156.0,<=1001614,<=73.0
(4.0;7.0],(4.0;10.0],(1522.0;2051.0],(86.0;125.0],(63.0;90.0],<=0.2,<=0.2,(9974.0;33847.0],(22916.0;32224.0],(2.4;5.99],(0.6;4.2],(0.6;5.0],<=0.0,(0.2;0.6],(1.4;2.8],(1.8;3.8],(15.77;25.0],(19.2;45.4],>4.2,<=156.0,<=1001614,<=73.0
(12.0;20.0],(4.0;10.0],(1012.0;1522.0],(46.0;86.0],(36.0;63.0],<=0.2,<=0.2,(77186.0;124777.],(46619.0;66921.0],<=0.0,<=0.0,<=0.0,<=0.0,(0.2;0.6],(5.21;9.76],(13.8;28.2],(15.77;25.0],(19.2;45.4],>4.2,<=156.0,<=1001614,<=73.0
(20.0;39.0],(10.0;38.0],(1522.0;2051.0],(86.0;125.0],(63.0;90.0],(0.2;0.4],(0.2;0.6],(9974.0;33847.0],(32224.0;46619.0],(0.4;2.4],(0.6;4.2],(0.6;5.0],<=0.0,(0.2;0.6],(1.4;2.8],(1.8;3.8],(25.0;41.28],(19.2;45.4],>4.2,<=156.0,<=1001614,<=73.0
(4.0;7.0],(4.0;10.0],(1012.0;1522.0],(46.0;86.0],(36.0;63.0],<=0.2,<=0.2,(124777.;187208.],(13634.0;22916.0],(0.4;2.4],(0.6;4.2],(0.6;5.0],<=0.0,(0.2;0.6],(2.8;5.21],(7.58;13.8],(15.77;25.0],(45.4;78.2],>4.2,<=156.0,<=1001614,<=73.0
(20.0;39.0],(10.0;38.0],(1012.0;1522.0],(279.0;390.0],(117.0;146.0],<=0.2,<=0.2,>409706.,>199568.,(0.4;2.4],(0.6;4.2],(0.6;5.0],<=0.0,(0.6;1.8],(0.6;1.4],(0.6;1.8],(15.77;25.0],(19.2;45.4],>4.2,<=156.0,<=1001614,<=73.0
(1.0;2.0],<=0.0,(2051.0;2579.0],(86.0;125.0],(63.0;90.0],(0.2;0.4],(0.2;0.6],(33847.0;77186.0],(32224.0;46619.0],<=0.0,<=0.0,<=0.0,<=0.0,<=0.0,(2.8;5.21],(3.8;7.58],(25.0;41.28],(19.2;45.4],>4.2,<=156.0,<=1001614,<=73.0
(1.0;2.0],<=0.0,(442.0;1012.0],(46.0;86.0],(63.0;90.0],<=0.2,<=0.2,(77186.0;124777.],(46619.0;66921.0],(0.0;0.4],(0.0;0.6],(0.6;5.0],(0.0;43.0],(0.2;0.6],(0.6;1.4],(1.8;3.8],<=15.77,(19.2;45.4],>4.2,<=156.0,<=1001614,<=73.0
(2.0;4.0],(1.0;4.0],(1522.0;2051.0],(86.0;125.0],(90.0;117.0],<=0.2,<=0.2,<=9974.0,(22916.0;32224.0],(2.4;5.99],(4.2;15.03],(0.6;5.0],<=0.0,(0.2;0.6],(2.8;5.21],(3.8;7.58],<=15.77,(45.4;78.2],>4.2,<=156.0,<=1001614,<=73.0
(7.0;12.0],(4.0;10.0],(1012.0;1522.0],(46.0;86.0],(36.0;63.0],<=0.2,<=0.2,(77186.0;124777.],(22916.0;32224.0],(0.4;2.4],(0.6;4.2],(0.6;5.0],<=0.0,(0.2;0.6],(2.8;5.21],(1.8;3.8],(25.0;41.28],(45.4;78.2],>4.2,<=156.0,<=1001614,<=73.0
(12.0;20.0],(10.0;38.0],(1012.0;1522.0],(279.0;390.0],(117.0;146.0],<=0.2,<=0.2,>409706.,>199568.,<=0.0,<=0.0,<=0.0,<=0.0,<=0.0,(0.0;0.6],(0.0;0.6],(15.77;25.0],(45.4;78.2],>4.2,<=156.0,<=1001614,<=73.0
(12.0;20.0],(10.0;38.0],(442.0;1012.0],(279.0;390.0],(117.0;146.0],<=0.2,<=0.2,>409706.,>199568.,(2.4;5.99],(0.6;4.2],(0.6;5.0],<=0.0,(0.6;1.8],(5.21;9.76],(3.8;7.58],(15.77;25.0],(45.4;78.2],>4.2,<=156.0,<=1001614,<=73.0
(20.0;39.0],(10.0;38.0],(2051.0;2579.0],(166.0;213.0],(117.0;146.0],(0.2;0.4],(0.2;0.6],(9974.0;33847.0],(32224.0;46619.0],<=0.0,<=0.0,<=0.0,<=0.0,<=0.0,(1.4;2.8],(1.8;3.8],(25.0;41.28],(174.0;251.8],>4.2,<=156.0,<=1001614,<=73.0
(4.0;7.0],(1.0;4.0],(1012.0;1522.0],(46.0;86.0],(63.0;90.0],(0.2;0.4],(0.6;1.2],<=9974.0,(46619.0;66921.0],<=0.0,<=0.0,<=0.0,<=0.0,<=0.0,(1.4;2.8],(1.8;3.8],(41.28;63.8],(78.2;120.4],>4.2,<=156.0,<=1001614,<=73.0
(7.0;12.0],(4.0;10.0],(1012.0;1522.0],(125.0;166.0],(63.0;90.0],(0.6;0.8],(0.2;0.6],(124777.;187208.],(22916.0;32224.0],(0.4;2.4],(0.6;4.2],(0.6;5.0],<=0.0,(0.2;0.6],(1.4;2.8],(1.8;3.8],(25.0;41.28],(45.4;78.2],>4.2,<=156.0,<=1001614,<=73.0
(7.0;12.0],(4.0;10.0],(442.0;1012.0],(46.0;86.0],(36.0;63.0],(0.8;1.4],(1.2;1.8],(9974.0;33847.0],(13634.0;22916.0],(2.4;5.99],(4.2;15.03],(0.6;5.0],<=0.0,(0.6;1.8],(1.4;2.8],(1.8;3.8],(41.28;63.8],(45.4;78.2],>4.2,<=156.0,<=1001614,<=73.0
(4.0;7.0],(4.0;10.0],(1012.0;1522.0],(125.0;166.0],(90.0;117.0],<=0.2,<=0.2,(33847.0;77186.0],(32224.0;46619.0],(0.4;2.4],(0.6;4.2],(0.6;5.0],(0.0;43.0],(0.2;0.6],(1.4;2.8],(1.8;3.8],(25.0;41.28],(45.4;78.2],>4.2,<=156.0,<=1001614,<=73.0
<=1.0,<=0.0,(2051.0;2579.0],(213.0;279.0],(146.0;185.0],<=0.2,<=0.2,(77186.0;124777.],(32224.0;46619.0],(0.4;2.4],(0.6;4.2],(0.6;5.0],<=0.0,(0.2;0.6],(1.4;2.8],(1.8;3.8],<=15.77,(45.4;78.2],>4.2,<=156.0,<=1001614,<=73.0
(1.0;2.0],(0.0;1.0],(1012.0;1522.0],(166.0;213.0],(117.0;146.0],<=0.2,<=0.2,(187208.;267659.],(13634.0;22916.0],<=0.0,<=0.0,<=0.0,<=0.0,<=0.0,(2.8;5.21],(3.8;7.58],(15.77;25.0],(19.2;45.4],>4.2,<=156.0,<=1001614,<=73.0
(7.0;12.0],(4.0;10.0],(442.0;1012.0],(46.0;86.0],(63.0;90.0],(0.8;1.4],(0.6;1.2],(33847.0;77186.0],(46619.0;66921.0],<=0.0,<=0.0,<=0.0,<=0.0,(0.0;0.2],(0.6;1.4],(0.6;1.8],(41.28;63.8],(120.4;174.0],>4.2,<=156.0,<=1001614,<=73.0
>39.0,>38.0,(442.0;1012.0],(279.0;390.0],(117.0;146.0],<=0.2,<=0.2,>409706.,>199568.,(0.4;2.4],(0.6;4.2],(0.6;5.0],<=0.0,<=0.0,<=0.0,<=0.0,<=15.77,(19.2;45.4],>4.2,<=156.0,<=1001614,<=73.0
>39.0,>38.0,(1012.0;1522.0],>390.0,(146.0;185.0],(0.2;0.4],<=0.2,>409706.,>199568.,<=0.0,<=0.0,<=0.0,<=0.0,<=0.0,(1.4;2.8],(1.8;3.8],(15.77;25.0],(45.4;78.2],>4.2,<=156.0,<=1001614,<=73.0
(20.0;39.0],(10.0;38.0],(2051.0;2579.0],>390.0,(146.0;185.0],<=0.2,<=0.2,>409706.,>199568.,<=0.0,<=0.0,<=0.0,<=0.0,(0.0;0.2],(5.21;9.76],(7.58;13.8],(25.0;41.28],(45.4;78.2],>4.2,<=156.0,<=1001614,<=73.0
(7.0;12.0],(4.0;10.0],(1012.0;1522.0],(86.0;125.0],(63.0;90.0],(0.8;1.4],(1.2;1.8],(9974.0;33847.0],(22916.0;32224.0],(0.4;2.4],(0.6;4.2],(0.6;5.0],<=0.0,<=0.0,(5.21;9.76],(7.58;13.8],(100.0;159.6],(120.4;174.0],>4.2,<=156.0,<=1001614,<=73.0
(7.0;12.0],(0.0;1.0],(442.0;1012.0],(46.0;86.0],(63.0;90.0],(1.4;2.2],>4.8,(33847.0;77186.0],(46619.0;66921.0],(0.4;2.4],(0.0;0.6],(0.0;0.6],<=0.0,(0.2;0.6],(0.0;0.6],(0.0;0.6],(63.8;100.0],(120.4;174.0],>4.2,<=156.0,<=1001614,<=73.0
(2.0;4.0],<=0.0,(1012.0;1522.0],(125.0;166.0],(63.0;90.0],(0.4;0.6],(0.2;0.6],(33847.0;77186.0],(22916.0;32224.0],<=0.0,<=0.0,<=0.0,<=0.0,<=0.0,(2.8;5.21],(3.8;7.58],(41.28;63.8],(45.4;78.2],>4.2,<=156.0,<=1001614,<=73.0
(20.0;39.0],(10.0;38.0],(1012.0;1522.0],>390.0,(146.0;185.0],<=0.2,<=0.2,>409706.,>199568.,<=0.0,<=0.0,<=0.0,<=0.0,<=0.0,(2.8;5.21],(1.8;3.8],<=15.77,(19.2;45.4],>4.2,<=156.0,<=1001614,<=73.0
(12.0;20.0],(10.0;38.0],(1012.0;1522.0],>390.0,(117.0;146.0],(0.2;0.4],(0.2;0.6],>409706.,>199568.,<=0.0,<=0.0,<=0.0,<=0.0,<=0.0,(0.0;0.6],(0.0;0.6],(25.0;41.28],(45.4;78.2],>4.2,<=156.0,<=1001614,<=73.0
(4.0;7.0],(1.0;4.0],(1522.0;2051.0],(125.0;166.0],(36.0;63.0],(0.4;0.6],(0.6;1.2],(187208.;267659.],(32224.0;46619.0],(0.0;0.4],(0.0;0.6],(0.0;0.6],<=0.0,(0.2;0.6],(0.0;0.6],(0.0;0.6],(41.28;63.8],(78.2;120.4],>4.2,<=156.0,<=1001614,<=73.0
(4.0;7.0],(4.0;10.0],(1522.0;2051.0],(86.0;125.0],(90.0;117.0],<=0.2,<=0.2,(77186.0;124777.],(22916.0;32224.0],<=0.0,<=0.0,<=0.0,<=0.0,<=0.0,(1.4;2.8],(1.8;3.8],(15.77;25.0],(19.2;45.4],>4.2,<=156.0,<=1001614,<=73.0
(4.0;7.0],(1.0;4.0],(1012.0;1522.0],(125.0;166.0],(90.0;117.0],<=0.2,<=0.2,(267659.;409706.],(22916.0;32224.0],>5.99,(4.2;15.03],>28.2,>43.0,>1.8,>19.24,>28.2,<=15.77,(78.2;120.4],>4.2,<=156.0,<=1001614,<=73.0
(1.0;2.0],<=0.0,(1012.0;1522.0],(86.0;125.0],(63.0;90.0],(0.2;0.4],(0.2;0.6],(9974.0;33847.0],(46619.0;66921.0],(0.4;2.4],(0.6;4.2],(0.6;5.0],<=0.0,<=0.0,(2.8;5.21],(3.8;7.58],(63.8;100.0],(78.2;120.4],>4.2,<=156.0,<=1001614,<=73.0
>39.0,>38.0,(1012.0;1522.0],(46.0;86.0],(36.0;63.0],(0.4;0.6],(0.6;1.2],(77186.0;124777.],(13634.0;22916.0],(2.4;5.99],(4.2;15.03],(5.0;28.2],(0.0;43.0],<=0.0,(9.76;19.24],(7.58;13.8],(41.28;63.8],(78.2;120.4],>4.2,<=156.0,<=1001614,<=73.0
