% This data set addresses a control problem, namely flying a F16
% aircraft. The attributes describe the status of the aeroplane, while
% the goal is to predict the control action on the ailerons of the
% aircraft.
% 
% Characteristics: (7154+6596) cases, 41 continuous attributes 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original source: Experiments of Rui Camacho (rcamacho@garfield.fe.up.pt)
@relation ailerons
@attribute climbRate numeric
@attribute Sgz numeric
@attribute p numeric
@attribute q numeric
@attribute curPitch numeric
@attribute curRoll numeric
@attribute absRoll numeric
@attribute diffClb numeric
@attribute diffRollRate numeric
@attribute diffDiffClb numeric
@attribute SeTime1 numeric
@attribute SeTime2 numeric
@attribute SeTime3 numeric
@attribute SeTime4 numeric
@attribute SeTime5 numeric
@attribute SeTime6 numeric
@attribute SeTime7 numeric
@attribute SeTime8 numeric
@attribute SeTime9 numeric
@attribute SeTime10 numeric
@attribute SeTime11 numeric
@attribute SeTime12 numeric
@attribute SeTime13 numeric
@attribute SeTime14 numeric
@attribute diffSeTime1 numeric
@attribute diffSeTime2 numeric
@attribute diffSeTime3 numeric
@attribute diffSeTime4 numeric
@attribute diffSeTime5 numeric
@attribute diffSeTime6 numeric
@attribute diffSeTime7 numeric
@attribute diffSeTime8 numeric
@attribute diffSeTime9 numeric
@attribute diffSeTime10 numeric
@attribute diffSeTime11 numeric
@attribute diffSeTime12 numeric
@attribute diffSeTime13 numeric
@attribute diffSeTime14 numeric
@attribute alpha numeric
@attribute Se numeric
@attribute class {<=-0.0014,(-0.0014;-0.0011],(-0.0011;-0.001],(-0.001;-0.0008],(-0.0008;-0.0007],(-0.0007;-0.0006],(-0.0006;-0.0006],(-0.0006;-0.0005],>-0.0005}

@data
-266.0,-20.0,-0.07,0.28,1.55,-1.1,-22.0,0.0,0.042,0.1,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,1.3,0.045,<=-0.0014
-355.0,-45.0,0.24,0.2,1.59,1.1,-20.0,4.0,-0.024,-0.9,0.039,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.042,<=-0.0014
-186.0,4.0,0.42,0.27,1.73,1.3,-19.0,-4.0,-0.006,-0.4,0.052,0.052,0.052,0.052,0.052,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.0,0.0,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.054,<=-0.0014
92.0,-20.0,0.09,0.27,1.23,-1.4,-21.0,-1.0,0.026,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.05,<=-0.0014
39.0,-30.0,0.23,0.06,1.13,0.3,-20.0,11.0,0.005,0.1,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.042,<=-0.0014
-99.0,-13.0,-0.33,0.21,1.54,1.7,-18.0,-2.0,-0.012,-0.1,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.051,<=-0.0014
79.0,-39.0,0.31,0.16,1.39,0.2,-16.0,-2.0,-0.007,-0.2,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.054,<=-0.0014
-13.0,-55.0,0.22,0.13,1.47,0.5,-17.0,-7.0,-0.009,0.8,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.051,<=-0.0014
55.0,-16.0,0.68,0.3,1.29,0.1,-19.0,-6.0,-0.007,-0.1,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.046,0.046,0.049,0.049,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.0,-0.004,0.0,-0.003,0.0,1.4,0.05,<=-0.0014
67.0,-15.0,0.59,0.31,1.07,0.1,-19.0,-8.0,-0.008,-0.8,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.042,<=-0.0014
-264.0,-27.0,0.61,0.3,1.54,-0.7,-22.0,-2.0,0.036,-0.3,0.048,0.048,0.048,0.047,0.047,0.047,0.047,0.046,0.046,0.046,0.046,0.045,0.045,0.045,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.045,<=-0.0014
105.0,-29.0,-0.24,0.18,1.86,-0.3,-14.0,-4.0,0.012,0.1,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.073,<=-0.0014
69.0,-23.0,-0.09,0.24,1.24,-1.2,-21.0,3.0,0.017,-0.3,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.048,<=-0.0014
-235.0,-44.0,0.39,0.16,1.52,0.3,-19.0,5.0,-0.009,-0.6,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.044,<=-0.0014
-21.0,-55.0,0.2,0.09,1.45,0.6,-17.0,-4.0,-0.009,1.5,0.049,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.051,<=-0.0014
-204.0,-22.0,0.15,0.1,1.35,0.4,-19.0,12.0,0.009,-0.7,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.04,<=-0.0014
-95.0,-22.0,0.1,0.12,1.23,-0.7,-21.0,11.0,0.029,-0.8,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,1.1,0.039,<=-0.0014
171.0,2.0,-0.07,0.4,0.96,-0.3,-21.0,-10.0,0.014,-0.8,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.043,<=-0.0014
107.0,-60.0,0.34,0.18,1.29,-0.8,-19.0,3.0,0.007,-0.2,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.052,<=-0.0014
-172.0,11.0,0.39,0.29,1.7,0.3,-20.0,2.0,0.007,-1.1,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.054,<=-0.0014
-32.0,-37.0,0.25,0.23,1.12,-0.7,-21.0,1.0,0.014,-0.2,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.04,<=-0.0014
-74.0,-14.0,0.22,0.25,1.4,-0.7,-21.0,-5.0,0.007,0.1,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.047,<=-0.0014
365.0,-36.0,-0.11,0.14,0.83,-0.5,-18.0,5.0,0.008,-0.2,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.047,<=-0.0014
114.0,-56.0,0.36,0.35,1.34,0.1,-18.0,-7.0,-0.009,-1.2,0.052,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.054,<=-0.0014
492.0,-8.0,-0.08,0.27,0.99,-0.8,-15.0,-20.0,0.026,1.2,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.059,<=-0.0014
131.0,-14.0,0.52,0.05,1.03,1.1,-18.0,13.0,-0.018,-0.6,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.043,<=-0.0014
265.0,-9.0,0.3,0.44,0.92,-0.8,-20.0,-6.0,0.006,-2.8,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.045,<=-0.0014
3.0,-58.0,-0.28,0.35,1.58,-0.7,-19.0,-6.0,0.003,-0.9,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.058,<=-0.0014
-69.0,-37.0,0.49,0.22,1.05,1.4,-17.0,-6.0,-0.039,-0.6,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.035,<=-0.0014
-227.0,-5.0,0.0,0.2,1.69,-0.2,-20.0,7.0,0.023,-0.3,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.051,<=-0.0014
378.0,-24.0,-0.19,0.03,1.0,-0.8,-15.0,8.0,-0.003,-0.2,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,1.5,0.054,<=-0.0014
610.0,-4.0,-0.35,0.44,0.8,0.1,-20.0,-8.0,0.011,-0.7,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.061,<=-0.0014
-97.0,-22.0,-0.22,0.18,1.47,0.9,-19.0,6.0,-0.026,-0.7,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.048,<=-0.0014
319.0,9.0,0.7,0.23,0.56,2.1,-16.0,-12.0,-0.022,0.4,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.9,0.033,<=-0.0014
200.0,-22.0,0.04,0.23,1.03,0.9,-19.0,-7.0,-0.02,0.4,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.046,<=-0.0014
-6.0,-29.0,0.61,0.22,0.76,0.4,-18.0,-3.0,-0.011,-1.6,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.027,<=-0.0014
433.0,-55.0,0.4,0.06,0.19,-0.3,-18.0,16.0,0.028,-0.6,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.024,0.024,0.022,0.022,0.022,0.022,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.6,0.022,<=-0.0014
178.0,-32.0,0.66,0.28,0.93,0.1,-18.0,-8.0,0.001,-0.6,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.041,<=-0.0014
345.0,-20.0,0.33,0.27,0.65,-0.2,-19.0,3.0,0.02,-2.2,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.038,<=-0.0014
-82.0,-35.0,0.4,0.13,1.04,-0.4,-18.0,2.0,0.032,0.2,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.034,<=-0.0014
128.0,-34.0,0.36,0.12,0.84,2.3,-19.0,5.0,0.001,-0.1,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.036,<=-0.0014
-15.0,-53.0,0.14,0.11,1.37,0.5,-16.0,3.0,-0.003,-0.2,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.048,<=-0.0014
-353.0,-28.0,0.78,-0.05,1.32,-0.4,-21.0,20.0,0.03,1.8,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.036,0.036,0.036,0.036,0.035,0.035,0.034,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.9,0.034,<=-0.0014
52.0,-62.0,0.22,0.07,1.47,-0.7,-14.0,3.0,0.005,-0.2,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.051,0.051,0.055,0.055,0.055,0.055,0.055,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.0,-0.004,0.0,0.0,0.0,0.0,0.0,1.6,0.055,<=-0.0014
115.0,-15.0,0.52,0.27,1.1,1.4,-15.0,-7.0,-0.021,-1.0,0.042,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.045,<=-0.0014
11.0,-39.0,0.06,0.07,1.7,-0.2,-14.0,-2.0,0.0,0.6,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.061,<=-0.0014
-24.0,-26.0,0.18,0.28,1.18,0.8,-18.0,4.0,-0.023,-1.7,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.043,<=-0.0014
166.0,-19.0,0.69,0.4,1.14,-1.1,-20.0,-3.0,0.012,-1.3,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.052,0.052,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.0,0.001,0.0,1.4,0.051,<=-0.0014
452.0,18.0,0.34,0.3,0.75,0.2,-18.0,-8.0,-0.002,-0.4,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.048,<=-0.0014
145.0,-32.0,0.93,0.01,0.36,-0.6,-14.0,7.0,0.016,-0.2,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.5,0.017,<=-0.0014
-314.0,-55.0,0.33,0.09,1.34,1.4,-14.0,2.0,-0.029,-0.7,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.035,<=-0.0014
-177.0,-36.0,0.28,-0.06,1.58,0.4,-14.0,12.0,-0.005,-0.4,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.047,<=-0.0014
234.0,-24.0,0.27,0.16,0.97,-1.7,-16.0,-2.0,0.012,-0.2,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.046,<=-0.0014
198.0,-30.0,0.19,0.17,1.06,1.6,-14.0,-6.0,-0.015,-0.2,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.047,<=-0.0014
53.0,-2.0,0.16,0.34,1.18,0.0,-19.0,-12.0,-0.017,-0.3,0.044,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.046,<=-0.0014
73.0,18.0,0.07,0.54,1.59,-0.5,-20.0,-19.0,0.012,-0.3,0.059,0.061,0.061,0.061,0.061,0.061,0.061,0.063,0.063,0.063,0.063,0.063,0.063,0.063,-0.003,0.0,0.0,0.0,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.063,<=-0.0014
276.0,-56.0,0.13,0.13,1.11,-0.2,-13.0,7.0,-0.016,-1.8,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.052,<=-0.0014
16.0,-42.0,0.24,0.11,1.45,-0.8,-17.0,6.0,0.02,-0.5,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.053,<=-0.0014
16.0,6.0,-0.05,0.47,1.29,0.6,-18.0,-10.0,0.002,-2.3,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.048,<=-0.0014
-323.0,-42.0,0.18,0.14,1.56,0.7,-17.0,-10.0,-0.014,0.7,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,0.0,1.2,0.041,<=-0.0014
