% A family of datasets synthetically generated from a simulation of how bank-customers choose their banks. Tasks are
% based on predicting the fraction of bank customers who leave the bank because of full queues. The bank family of
% datasets are generated from a simplistic simulator, which simulates the queues in a series of banks. The simulator was
% constructed with the explicit purpose of generating a family of datasets for DELVE. Customers come from several
% residential areas, choose their preferred bank depending on distances and have tasks of varying complexity, and various
% levels of patience. Each bank has several queues, that open and close according to demand. The tellers have various
% effectivities, and customers may change queue, if their patience expires. In the rej prototasks, the object is to predict the
% rate of rejections, ie the fraction of customers that are turned away from the bank because all the open tellers have full
% queues. 
@relation bank8FM
@attribute a1cx {<=-0.3767,(-0.3767;-0.2552],(-0.2552;-0.1297],(-0.1297;-0.0019],(-0.0019;0.12886],(0.12886;0.25604],(0.25604;0.37892],>0.37892}
@attribute a1cy {<=-0.3802,(-0.3802;-0.2637],(-0.2637;-0.1407],(-0.1407;-0.0130],(-0.0130;0.12241],(0.12241;0.24057],(0.24057;0.37140],>0.37140}
@attribute b2x {<=-0.3825,(-0.3825;-0.2522],(-0.2522;-0.1244],(-0.1244;0.00194],(0.00194;0.12392],(0.12392;0.25073],(0.25073;0.37080],>0.37080}
@attribute b2y {<=-0.3729,(-0.3729;-0.2500],(-0.2500;-0.1261],(-0.1261;-0.0077],(-0.0077;0.11390],(0.11390;0.24529],(0.24529;0.36628],>0.36628}
@attribute a2pop {<=0.42485,(0.42485;0.89551],(0.89551;1.44794],(1.44794;2.09858],(2.09858;2.93644],(2.93644;4.22859],(4.22859;6.33597],>6.33597}
@attribute a3pop {<=0.41655,(0.41655;0.91202],(0.91202;1.46928],(1.46928;2.14199],(2.14199;3.01000],(3.01000;4.18623],(4.18623;6.30256],>6.30256}
@attribute temp {<=0.34361,(0.34361;0.45517],(0.45517;0.54854],(0.54854;0.62542],(0.62542;0.69566],(0.69566;0.76516],(0.76516;0.83847],>0.83847}
@attribute mxql {<=5.0,(5.0;5.0],(5.0;6.0],(6.0;7.0],(7.0;7.0],(7.0;8.0],(8.0;8.0],>8.0}
@attribute class {<=0.02247,(0.02247;0.07959],(0.07959;0.16407],(0.16407;0.28832],>0.28832}

@data
(-0.3767;-0.2552],<=-0.3802,(-0.3825;-0.2522],(0.24529;0.36628],(2.09858;2.93644],>6.30256,(0.45517;0.54854],<=5.0,>0.28832
(-0.0019;0.12886],>0.37140,(0.00194;0.12392],(-0.3729;-0.2500],(1.44794;2.09858],(0.41655;0.91202],(0.45517;0.54854],<=5.0,<=0.02247
(-0.2552;-0.1297],(0.12241;0.24057],(0.00194;0.12392],(-0.1261;-0.0077],(0.89551;1.44794],(4.18623;6.30256],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
(-0.0019;0.12886],(-0.0130;0.12241],(0.25073;0.37080],(-0.0077;0.11390],>6.33597,(0.41655;0.91202],(0.45517;0.54854],<=5.0,>0.28832
(-0.3767;-0.2552],(-0.2637;-0.1407],(0.25073;0.37080],>0.36628,>6.33597,(3.01000;4.18623],(0.62542;0.69566],<=5.0,>0.28832
(-0.2552;-0.1297],(0.12241;0.24057],(0.12392;0.25073],(0.11390;0.24529],>6.33597,(0.41655;0.91202],(0.62542;0.69566],<=5.0,(0.16407;0.28832]
>0.37892,(-0.1407;-0.0130],(-0.2522;-0.1244],(-0.3729;-0.2500],>6.33597,>6.30256,(0.45517;0.54854],<=5.0,>0.28832
(-0.1297;-0.0019],<=-0.3802,<=-0.3825,(0.11390;0.24529],<=0.42485,<=0.41655,(0.76516;0.83847],<=5.0,<=0.02247
(-0.2552;-0.1297],<=-0.3802,(-0.1244;0.00194],(-0.2500;-0.1261],(0.89551;1.44794],>6.30256,(0.45517;0.54854],<=5.0,>0.28832
(-0.0019;0.12886],(-0.3802;-0.2637],<=-0.3825,(-0.1261;-0.0077],(1.44794;2.09858],(4.18623;6.30256],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
<=-0.3767,(0.24057;0.37140],(0.25073;0.37080],(-0.2500;-0.1261],(2.09858;2.93644],(4.18623;6.30256],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
(-0.1297;-0.0019],(-0.0130;0.12241],(0.12392;0.25073],(-0.1261;-0.0077],(0.89551;1.44794],(0.91202;1.46928],(0.76516;0.83847],<=5.0,<=0.02247
(-0.0019;0.12886],(-0.3802;-0.2637],(0.12392;0.25073],(-0.0077;0.11390],<=0.42485,(2.14199;3.01000],(0.76516;0.83847],<=5.0,(0.02247;0.07959]
(-0.3767;-0.2552],(-0.3802;-0.2637],(0.12392;0.25073],(-0.2500;-0.1261],(4.22859;6.33597],(3.01000;4.18623],(0.45517;0.54854],<=5.0,>0.28832
(-0.2552;-0.1297],(-0.1407;-0.0130],>0.37080,(0.24529;0.36628],<=0.42485,(2.14199;3.01000],(0.45517;0.54854],<=5.0,(0.02247;0.07959]
(0.25604;0.37892],(-0.1407;-0.0130],(-0.2522;-0.1244],(-0.3729;-0.2500],(0.89551;1.44794],(4.18623;6.30256],(0.76516;0.83847],<=5.0,(0.16407;0.28832]
(-0.3767;-0.2552],(-0.0130;0.12241],(-0.3825;-0.2522],(-0.1261;-0.0077],(0.89551;1.44794],>6.30256,(0.45517;0.54854],<=5.0,>0.28832
(-0.0019;0.12886],(0.12241;0.24057],(-0.1244;0.00194],>0.36628,<=0.42485,(1.46928;2.14199],(0.45517;0.54854],<=5.0,(0.02247;0.07959]
(0.25604;0.37892],(-0.2637;-0.1407],(0.12392;0.25073],(0.11390;0.24529],>6.33597,(0.41655;0.91202],(0.76516;0.83847],<=5.0,(0.16407;0.28832]
(-0.3767;-0.2552],(0.24057;0.37140],(-0.2522;-0.1244],(-0.1261;-0.0077],(2.93644;4.22859],(3.01000;4.18623],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
(-0.0019;0.12886],(-0.3802;-0.2637],(-0.1244;0.00194],(-0.0077;0.11390],>6.33597,>6.30256,(0.45517;0.54854],<=5.0,>0.28832
<=-0.3767,<=-0.3802,<=-0.3825,<=-0.3729,(2.93644;4.22859],(0.91202;1.46928],(0.62542;0.69566],<=5.0,(0.02247;0.07959]
(0.25604;0.37892],(-0.2637;-0.1407],(-0.3825;-0.2522],(-0.0077;0.11390],(2.93644;4.22859],(0.91202;1.46928],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
>0.37892,(-0.3802;-0.2637],(0.00194;0.12392],(0.11390;0.24529],<=0.42485,(4.18623;6.30256],(0.76516;0.83847],<=5.0,(0.16407;0.28832]
(-0.1297;-0.0019],(-0.3802;-0.2637],(-0.3825;-0.2522],(-0.3729;-0.2500],(4.22859;6.33597],(0.91202;1.46928],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
(-0.1297;-0.0019],(0.12241;0.24057],(0.00194;0.12392],(-0.1261;-0.0077],(4.22859;6.33597],<=0.41655,(0.76516;0.83847],<=5.0,(0.07959;0.16407]
(-0.3767;-0.2552],(-0.0130;0.12241],(0.00194;0.12392],(-0.0077;0.11390],(0.42485;0.89551],(4.18623;6.30256],(0.76516;0.83847],<=5.0,(0.07959;0.16407]
<=-0.3767,(0.24057;0.37140],(0.00194;0.12392],(-0.1261;-0.0077],(4.22859;6.33597],(0.41655;0.91202],(0.76516;0.83847],<=5.0,(0.07959;0.16407]
>0.37892,>0.37140,(0.00194;0.12392],(0.24529;0.36628],<=0.42485,(4.18623;6.30256],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
(-0.2552;-0.1297],(-0.1407;-0.0130],(-0.3825;-0.2522],(0.24529;0.36628],>6.33597,(0.91202;1.46928],(0.62542;0.69566],<=5.0,(0.16407;0.28832]
(-0.2552;-0.1297],<=-0.3802,(-0.1244;0.00194],(-0.3729;-0.2500],(2.09858;2.93644],>6.30256,(0.45517;0.54854],<=5.0,>0.28832
(0.12886;0.25604],(0.24057;0.37140],>0.37080,(-0.3729;-0.2500],>6.33597,(2.14199;3.01000],(0.62542;0.69566],<=5.0,>0.28832
(0.12886;0.25604],<=-0.3802,(0.00194;0.12392],(-0.0077;0.11390],(0.89551;1.44794],(0.91202;1.46928],(0.45517;0.54854],<=5.0,(0.02247;0.07959]
(-0.1297;-0.0019],(0.12241;0.24057],(0.00194;0.12392],>0.36628,<=0.42485,(0.41655;0.91202],(0.76516;0.83847],<=5.0,<=0.02247
(-0.1297;-0.0019],(-0.1407;-0.0130],(-0.2522;-0.1244],(-0.1261;-0.0077],(1.44794;2.09858],(1.46928;2.14199],(0.76516;0.83847],<=5.0,(0.02247;0.07959]
<=-0.3767,(-0.2637;-0.1407],(-0.1244;0.00194],(-0.3729;-0.2500],(1.44794;2.09858],(2.14199;3.01000],(0.62542;0.69566],<=5.0,(0.07959;0.16407]
>0.37892,(-0.3802;-0.2637],<=-0.3825,(0.11390;0.24529],(0.89551;1.44794],(2.14199;3.01000],(0.76516;0.83847],<=5.0,(0.07959;0.16407]
>0.37892,(-0.2637;-0.1407],<=-0.3825,<=-0.3729,(2.09858;2.93644],<=0.41655,(0.76516;0.83847],<=5.0,(0.02247;0.07959]
<=-0.3767,>0.37140,(-0.3825;-0.2522],(-0.1261;-0.0077],<=0.42485,(4.18623;6.30256],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
(-0.1297;-0.0019],(-0.1407;-0.0130],(0.00194;0.12392],(0.24529;0.36628],(0.42485;0.89551],(4.18623;6.30256],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
(-0.0019;0.12886],>0.37140,(-0.2522;-0.1244],(0.24529;0.36628],(1.44794;2.09858],(3.01000;4.18623],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
(-0.2552;-0.1297],(-0.3802;-0.2637],(-0.3825;-0.2522],(-0.2500;-0.1261],>6.33597,(4.18623;6.30256],(0.45517;0.54854],<=5.0,>0.28832
<=-0.3767,(-0.1407;-0.0130],<=-0.3825,<=-0.3729,(0.89551;1.44794],(4.18623;6.30256],(0.45517;0.54854],<=5.0,(0.07959;0.16407]
(-0.1297;-0.0019],(-0.2637;-0.1407],(0.25073;0.37080],(-0.2500;-0.1261],(1.44794;2.09858],(1.46928;2.14199],(0.45517;0.54854],<=5.0,(0.02247;0.07959]
>0.37892,(-0.1407;-0.0130],(0.12392;0.25073],(-0.1261;-0.0077],(2.93644;4.22859],(3.01000;4.18623],(0.76516;0.83847],<=5.0,(0.07959;0.16407]
<=-0.3767,(0.12241;0.24057],(-0.1244;0.00194],(-0.2500;-0.1261],(1.44794;2.09858],<=0.41655,(0.76516;0.83847],<=5.0,<=0.02247
(0.25604;0.37892],(0.24057;0.37140],(-0.1244;0.00194],(-0.0077;0.11390],(2.09858;2.93644],(2.14199;3.01000],(0.76516;0.83847],<=5.0,(0.02247;0.07959]
>0.37892,(-0.0130;0.12241],(0.12392;0.25073],(-0.2500;-0.1261],(0.42485;0.89551],(3.01000;4.18623],(0.76516;0.83847],<=5.0,(0.02247;0.07959]
<=-0.3767,(-0.3802;-0.2637],<=-0.3825,(-0.1261;-0.0077],>6.33597,(0.41655;0.91202],(0.76516;0.83847],<=5.0,(0.07959;0.16407]
(0.25604;0.37892],<=-0.3802,(-0.2522;-0.1244],(0.24529;0.36628],<=0.42485,(1.46928;2.14199],(0.62542;0.69566],<=5.0,(0.02247;0.07959]
>0.37892,(-0.2637;-0.1407],(0.12392;0.25073],(-0.2500;-0.1261],(2.93644;4.22859],(0.91202;1.46928],(0.45517;0.54854],<=5.0,(0.07959;0.16407]
(-0.1297;-0.0019],(-0.2637;-0.1407],(0.00194;0.12392],(0.11390;0.24529],(1.44794;2.09858],<=0.41655,(0.62542;0.69566],<=5.0,<=0.02247
<=-0.3767,>0.37140,(0.12392;0.25073],(0.24529;0.36628],(2.09858;2.93644],(3.01000;4.18623],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
(-0.2552;-0.1297],(0.12241;0.24057],>0.37080,(0.24529;0.36628],(1.44794;2.09858],(0.41655;0.91202],(0.62542;0.69566],<=5.0,<=0.02247
(-0.3767;-0.2552],<=-0.3802,(-0.2522;-0.1244],>0.36628,(2.09858;2.93644],<=0.41655,(0.45517;0.54854],<=5.0,(0.02247;0.07959]
(-0.1297;-0.0019],(-0.0130;0.12241],(0.12392;0.25073],<=-0.3729,(2.93644;4.22859],(4.18623;6.30256],(0.76516;0.83847],<=5.0,(0.16407;0.28832]
(-0.2552;-0.1297],(-0.3802;-0.2637],(0.00194;0.12392],(-0.0077;0.11390],(2.93644;4.22859],(4.18623;6.30256],(0.45517;0.54854],<=5.0,>0.28832
>0.37892,(-0.1407;-0.0130],(-0.3825;-0.2522],(0.24529;0.36628],(2.93644;4.22859],(0.41655;0.91202],(0.76516;0.83847],<=5.0,(0.07959;0.16407]
(-0.0019;0.12886],(-0.3802;-0.2637],>0.37080,(-0.3729;-0.2500],(0.42485;0.89551],(2.14199;3.01000],(0.76516;0.83847],<=5.0,(0.02247;0.07959]
(-0.1297;-0.0019],(-0.0130;0.12241],<=-0.3825,(-0.1261;-0.0077],>6.33597,(3.01000;4.18623],(0.45517;0.54854],<=5.0,>0.28832
>0.37892,(-0.0130;0.12241],(-0.3825;-0.2522],<=-0.3729,(1.44794;2.09858],(0.91202;1.46928],(0.76516;0.83847],<=5.0,(0.02247;0.07959]
(0.12886;0.25604],(0.12241;0.24057],(-0.2522;-0.1244],<=-0.3729,<=0.42485,(0.91202;1.46928],(0.76516;0.83847],<=5.0,<=0.02247
(-0.2552;-0.1297],(-0.3802;-0.2637],>0.37080,>0.36628,(0.42485;0.89551],(4.18623;6.30256],(0.45517;0.54854],<=5.0,(0.07959;0.16407]
>0.37892,(-0.3802;-0.2637],(-0.3825;-0.2522],(-0.0077;0.11390],(1.44794;2.09858],>6.30256,(0.45517;0.54854],<=5.0,>0.28832
(-0.3767;-0.2552],<=-0.3802,(0.00194;0.12392],>0.36628,>6.33597,>6.30256,(0.76516;0.83847],<=5.0,>0.28832
>0.37892,(-0.3802;-0.2637],(0.12392;0.25073],(-0.3729;-0.2500],(4.22859;6.33597],>6.30256,(0.62542;0.69566],<=5.0,>0.28832
(-0.1297;-0.0019],(-0.0130;0.12241],(0.12392;0.25073],(-0.2500;-0.1261],(2.09858;2.93644],(3.01000;4.18623],(0.45517;0.54854],<=5.0,(0.07959;0.16407]
(-0.1297;-0.0019],(-0.3802;-0.2637],(0.12392;0.25073],>0.36628,<=0.42485,(0.41655;0.91202],(0.76516;0.83847],<=5.0,<=0.02247
(-0.0019;0.12886],(0.12241;0.24057],(-0.3825;-0.2522],(0.24529;0.36628],(0.42485;0.89551],<=0.41655,(0.76516;0.83847],<=5.0,<=0.02247
<=-0.3767,>0.37140,<=-0.3825,(-0.1261;-0.0077],<=0.42485,(0.91202;1.46928],(0.45517;0.54854],<=5.0,<=0.02247
(0.12886;0.25604],>0.37140,(0.00194;0.12392],>0.36628,(0.89551;1.44794],(2.14199;3.01000],(0.45517;0.54854],<=5.0,(0.02247;0.07959]
(0.25604;0.37892],(-0.0130;0.12241],(-0.2522;-0.1244],<=-0.3729,(0.89551;1.44794],>6.30256,(0.76516;0.83847],<=5.0,>0.28832
(0.12886;0.25604],<=-0.3802,(0.12392;0.25073],<=-0.3729,>6.33597,(1.46928;2.14199],(0.45517;0.54854],<=5.0,>0.28832
(0.12886;0.25604],(0.24057;0.37140],(0.12392;0.25073],(0.24529;0.36628],<=0.42485,>6.30256,(0.45517;0.54854],<=5.0,>0.28832
(-0.2552;-0.1297],>0.37140,>0.37080,(0.11390;0.24529],(4.22859;6.33597],(2.14199;3.01000],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
>0.37892,(-0.3802;-0.2637],(0.00194;0.12392],(0.11390;0.24529],(1.44794;2.09858],>6.30256,(0.76516;0.83847],<=5.0,>0.28832
(-0.0019;0.12886],>0.37140,>0.37080,(-0.1261;-0.0077],(0.89551;1.44794],(0.41655;0.91202],(0.45517;0.54854],<=5.0,(0.02247;0.07959]
(-0.1297;-0.0019],(-0.3802;-0.2637],(-0.1244;0.00194],(-0.1261;-0.0077],(1.44794;2.09858],(2.14199;3.01000],(0.76516;0.83847],<=5.0,(0.02247;0.07959]
(0.25604;0.37892],(-0.0130;0.12241],(-0.3825;-0.2522],(0.11390;0.24529],(1.44794;2.09858],(0.91202;1.46928],(0.45517;0.54854],<=5.0,(0.02247;0.07959]
(-0.3767;-0.2552],<=-0.3802,(0.25073;0.37080],(-0.1261;-0.0077],>6.33597,(4.18623;6.30256],(0.45517;0.54854],<=5.0,>0.28832
(-0.2552;-0.1297],(-0.1407;-0.0130],(0.12392;0.25073],(-0.3729;-0.2500],>6.33597,<=0.41655,(0.76516;0.83847],<=5.0,(0.16407;0.28832]
(-0.2552;-0.1297],(0.24057;0.37140],(0.12392;0.25073],(-0.2500;-0.1261],>6.33597,(3.01000;4.18623],(0.62542;0.69566],<=5.0,>0.28832
(-0.3767;-0.2552],(0.12241;0.24057],<=-0.3825,(-0.0077;0.11390],(4.22859;6.33597],(4.18623;6.30256],(0.76516;0.83847],<=5.0,>0.28832
(0.25604;0.37892],(0.12241;0.24057],(0.25073;0.37080],(0.11390;0.24529],>6.33597,(4.18623;6.30256],(0.45517;0.54854],<=5.0,>0.28832
(-0.2552;-0.1297],(-0.0130;0.12241],<=-0.3825,<=-0.3729,(0.89551;1.44794],(3.01000;4.18623],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
>0.37892,(-0.2637;-0.1407],(-0.1244;0.00194],<=-0.3729,(1.44794;2.09858],(0.91202;1.46928],(0.76516;0.83847],<=5.0,(0.02247;0.07959]
(0.25604;0.37892],>0.37140,(0.25073;0.37080],(0.11390;0.24529],(0.89551;1.44794],(4.18623;6.30256],(0.45517;0.54854],<=5.0,(0.07959;0.16407]
<=-0.3767,>0.37140,(0.25073;0.37080],(-0.3729;-0.2500],>6.33597,(4.18623;6.30256],(0.45517;0.54854],<=5.0,>0.28832
(0.12886;0.25604],(-0.0130;0.12241],<=-0.3825,>0.36628,>6.33597,(3.01000;4.18623],(0.76516;0.83847],<=5.0,>0.28832
(-0.2552;-0.1297],(-0.1407;-0.0130],(0.12392;0.25073],(-0.2500;-0.1261],(1.44794;2.09858],(4.18623;6.30256],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
(-0.3767;-0.2552],(0.12241;0.24057],(0.12392;0.25073],>0.36628,>6.33597,(3.01000;4.18623],(0.45517;0.54854],<=5.0,>0.28832
(0.12886;0.25604],<=-0.3802,(0.25073;0.37080],(-0.3729;-0.2500],(0.89551;1.44794],(4.18623;6.30256],(0.45517;0.54854],<=5.0,(0.07959;0.16407]
>0.37892,<=-0.3802,(0.12392;0.25073],(-0.3729;-0.2500],(2.93644;4.22859],(2.14199;3.01000],(0.62542;0.69566],<=5.0,(0.07959;0.16407]
(-0.3767;-0.2552],(-0.2637;-0.1407],>0.37080,(-0.2500;-0.1261],(2.93644;4.22859],(4.18623;6.30256],(0.45517;0.54854],<=5.0,>0.28832
(0.12886;0.25604],(0.12241;0.24057],(-0.2522;-0.1244],(-0.1261;-0.0077],(0.42485;0.89551],(1.46928;2.14199],(0.76516;0.83847],<=5.0,(0.02247;0.07959]
(-0.2552;-0.1297],(0.24057;0.37140],(0.12392;0.25073],<=-0.3729,(2.09858;2.93644],(0.91202;1.46928],(0.62542;0.69566],<=5.0,(0.02247;0.07959]
(-0.1297;-0.0019],(0.12241;0.24057],(-0.2522;-0.1244],(-0.0077;0.11390],(0.89551;1.44794],(1.46928;2.14199],(0.45517;0.54854],<=5.0,(0.02247;0.07959]
<=-0.3767,(-0.1407;-0.0130],(0.12392;0.25073],(-0.2500;-0.1261],(2.93644;4.22859],(3.01000;4.18623],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
(0.25604;0.37892],(-0.3802;-0.2637],(0.00194;0.12392],(-0.0077;0.11390],>6.33597,>6.30256,(0.45517;0.54854],<=5.0,>0.28832
(-0.1297;-0.0019],(-0.0130;0.12241],(0.12392;0.25073],<=-0.3729,(0.42485;0.89551],(0.91202;1.46928],(0.76516;0.83847],<=5.0,<=0.02247
(0.25604;0.37892],(-0.2637;-0.1407],<=-0.3825,>0.36628,(4.22859;6.33597],(3.01000;4.18623],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
(-0.1297;-0.0019],(-0.2637;-0.1407],(-0.2522;-0.1244],(0.11390;0.24529],(1.44794;2.09858],<=0.41655,(0.45517;0.54854],<=5.0,(0.02247;0.07959]
>0.37892,(-0.2637;-0.1407],<=-0.3825,>0.36628,<=0.42485,(2.14199;3.01000],(0.76516;0.83847],<=5.0,(0.07959;0.16407]
(-0.1297;-0.0019],(-0.2637;-0.1407],(-0.3825;-0.2522],(-0.2500;-0.1261],(0.89551;1.44794],(0.91202;1.46928],(0.45517;0.54854],<=5.0,(0.02247;0.07959]
(-0.2552;-0.1297],(-0.2637;-0.1407],>0.37080,(0.11390;0.24529],(2.09858;2.93644],(3.01000;4.18623],(0.45517;0.54854],<=5.0,(0.07959;0.16407]
>0.37892,(-0.2637;-0.1407],(-0.1244;0.00194],(-0.1261;-0.0077],(1.44794;2.09858],(1.46928;2.14199],(0.76516;0.83847],<=5.0,(0.02247;0.07959]
(-0.0019;0.12886],(-0.3802;-0.2637],(0.12392;0.25073],(0.24529;0.36628],(2.09858;2.93644],>6.30256,(0.45517;0.54854],<=5.0,>0.28832
(0.12886;0.25604],(-0.2637;-0.1407],(0.12392;0.25073],>0.36628,(0.42485;0.89551],(4.18623;6.30256],(0.76516;0.83847],<=5.0,(0.07959;0.16407]
(-0.2552;-0.1297],(0.24057;0.37140],<=-0.3825,(-0.2500;-0.1261],(4.22859;6.33597],<=0.41655,(0.45517;0.54854],<=5.0,(0.07959;0.16407]
>0.37892,(0.24057;0.37140],(0.12392;0.25073],(0.24529;0.36628],>6.33597,>6.30256,(0.45517;0.54854],<=5.0,>0.28832
(0.25604;0.37892],<=-0.3802,>0.37080,(0.11390;0.24529],(1.44794;2.09858],(2.14199;3.01000],(0.45517;0.54854],<=5.0,(0.07959;0.16407]
(-0.2552;-0.1297],(0.12241;0.24057],>0.37080,(-0.1261;-0.0077],(1.44794;2.09858],(0.41655;0.91202],(0.76516;0.83847],<=5.0,(0.02247;0.07959]
(-0.1297;-0.0019],(0.12241;0.24057],(0.00194;0.12392],(-0.2500;-0.1261],(0.42485;0.89551],(0.41655;0.91202],(0.62542;0.69566],<=5.0,<=0.02247
(-0.3767;-0.2552],(-0.3802;-0.2637],(-0.2522;-0.1244],(-0.0077;0.11390],(2.93644;4.22859],(3.01000;4.18623],(0.45517;0.54854],<=5.0,(0.16407;0.28832]
<=-0.3767,(0.12241;0.24057],(-0.1244;0.00194],(-0.1261;-0.0077],(2.93644;4.22859],(0.41655;0.91202],(0.45517;0.54854],<=5.0,(0.07959;0.16407]
(0.25604;0.37892],(-0.0130;0.12241],(-0.1244;0.00194],>0.36628,(2.09858;2.93644],<=0.41655,(0.76516;0.83847],<=5.0,(0.02247;0.07959]
(0.25604;0.37892],(-0.1407;-0.0130],(0.25073;0.37080],(-0.3729;-0.2500],(2.93644;4.22859],<=0.41655,(0.62542;0.69566],<=5.0,(0.02247;0.07959]
(-0.0019;0.12886],>0.37140,(-0.3825;-0.2522],(0.11390;0.24529],(1.44794;2.09858],(0.91202;1.46928],(0.76516;0.83847],<=5.0,<=0.02247
<=-0.3767,<=-0.3802,>0.37080,<=-0.3729,(0.89551;1.44794],(2.14199;3.01000],(0.45517;0.54854],<=5.0,(0.07959;0.16407]
(-0.2552;-0.1297],<=-0.3802,(0.12392;0.25073],(-0.3729;-0.2500],(2.09858;2.93644],(4.18623;6.30256],(0.62542;0.69566],<=5.0,(0.16407;0.28832]
