% This data set is also obtained from the task of controlling the
% ailerons of a F16 aircraft, although the target variable and
% attributes are different from the ailerons domain. The target variable
% here is a variation instead of an absolute value, and there was some
% pre-selection of the attributes.
% 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original source: Experiments of Rui Camacho (rcamacho@garfield.fe.up.pt). 
% Characteristics: 7129 cases, 7 continuous attributes
@relation delta_elevators
@attribute climbRate {<=-5.8,(-5.8;-3.9],(-3.9;-2.5],(-2.5;-0.9],(-0.9;1.4],(1.4;3.5],(3.5;5.7],>5.7}
@attribute Altitude {<=-40.0,(-40.0;-30.0],(-30.0;-20.0],(-20.0;-10.0],(-10.0;-10.0],(-10.0;0.0],(0.0;20.0],>20.0}
@attribute RollRate {<=-0.0063,(-0.0063;-0.004],(-0.004;-0.0018],(-0.0018;0.0001],(0.0001;0.0021],(0.0021;0.0041],(0.0041;0.0062],>0.0062}
@attribute curRoll {<=-0.016,(-0.016;-0.009],(-0.009;-0.004],(-0.004;0.002],(0.002;0.007],(0.007;0.012],(0.012;0.02],>0.02}
@attribute diffClb {<=-0.2,(-0.2;-0.1],(-0.1;-0.1],(-0.1;0.0],(0.0;0.1],(0.1;0.1],(0.1;0.2],>0.2}
@attribute diffDiffClb {<=-0.01,(-0.01;0.0],(0.0;0.0],(0.0;0.0],(0.0;0.0],(0.0;0.0],(0.0;0.0],>0.0}
@attribute class {<=-0.002,(-0.002;-0.001],(-0.001;0.001],(0.001;0.002],>0.002}

@data
<=-5.8,<=-40.0,(-0.004;-0.0018],(-0.009;-0.004],(0.1;0.2],<=-0.01,(-0.002;-0.001]
(-2.5;-0.9],(-30.0;-20.0],>0.0062,(-0.009;-0.004],(0.1;0.2],<=-0.01,>0.002
<=-5.8,<=-40.0,(-0.0018;0.0001],(-0.009;-0.004],(0.1;0.2],<=-0.01,<=-0.002
(-3.9;-2.5],(-40.0;-30.0],>0.0062,(0.007;0.012],(0.1;0.2],<=-0.01,(-0.002;-0.001]
(-2.5;-0.9],<=-40.0,(0.0021;0.0041],(-0.016;-0.009],(0.1;0.2],<=-0.01,(-0.002;-0.001]
<=-5.8,<=-40.0,<=-0.0063,(-0.016;-0.009],(0.1;0.2],<=-0.01,(-0.002;-0.001]
<=-5.8,(0.0;20.0],(-0.0018;0.0001],>0.02,(-0.2;-0.1],<=-0.01,(-0.002;-0.001]
<=-5.8,(-30.0;-20.0],(-0.0063;-0.004],>0.02,(0.1;0.2],<=-0.01,(-0.002;-0.001]
(-3.9;-2.5],(-40.0;-30.0],>0.0062,(0.002;0.007],(0.1;0.2],<=-0.01,(-0.001;0.001]
<=-5.8,<=-40.0,(-0.0063;-0.004],>0.02,(0.1;0.2],<=-0.01,(-0.001;0.001]
(-3.9;-2.5],(0.0;20.0],>0.0062,<=-0.016,(-0.2;-0.1],<=-0.01,(-0.001;0.001]
<=-5.8,<=-40.0,(0.0041;0.0062],<=-0.016,(0.1;0.2],<=-0.01,<=-0.002
(-0.9;1.4],(-30.0;-20.0],(0.0001;0.0021],>0.02,(0.1;0.2],<=-0.01,(-0.002;-0.001]
(-2.5;-0.9],<=-40.0,<=-0.0063,(-0.004;0.002],(0.1;0.2],<=-0.01,(-0.001;0.001]
<=-5.8,(-30.0;-20.0],>0.0062,>0.02,(-0.2;-0.1],<=-0.01,(-0.001;0.001]
(-5.8;-3.9],(-10.0;0.0],<=-0.0063,(-0.004;0.002],(0.1;0.2],<=-0.01,(-0.002;-0.001]
<=-5.8,(-20.0;-10.0],(-0.0063;-0.004],(0.002;0.007],(0.1;0.2],<=-0.01,(-0.002;-0.001]
(-5.8;-3.9],<=-40.0,(-0.004;-0.0018],>0.02,(0.1;0.2],<=-0.01,(-0.002;-0.001]
(-2.5;-0.9],(-20.0;-10.0],(0.0021;0.0041],>0.02,(0.1;0.2],<=-0.01,(0.001;0.002]
(-2.5;-0.9],<=-40.0,<=-0.0063,<=-0.016,(0.1;0.2],<=-0.01,<=-0.002
(-3.9;-2.5],(-20.0;-10.0],(-0.0063;-0.004],>0.02,(-0.2;-0.1],<=-0.01,<=-0.002
(-0.9;1.4],<=-40.0,>0.0062,<=-0.016,(0.1;0.2],<=-0.01,(0.001;0.002]
(-3.9;-2.5],<=-40.0,<=-0.0063,(-0.004;0.002],(0.1;0.2],<=-0.01,(-0.001;0.001]
<=-5.8,(0.0;20.0],(0.0021;0.0041],>0.02,(0.1;0.2],<=-0.01,(-0.001;0.001]
(-5.8;-3.9],(-40.0;-30.0],<=-0.0063,(-0.004;0.002],(0.1;0.2],<=-0.01,(-0.002;-0.001]
<=-5.8,(-40.0;-30.0],(-0.0018;0.0001],>0.02,(-0.2;-0.1],<=-0.01,<=-0.002
(-2.5;-0.9],(0.0;20.0],(-0.0063;-0.004],>0.02,(0.1;0.2],<=-0.01,(-0.001;0.001]
(-5.8;-3.9],>20.0,(-0.004;-0.0018],(0.002;0.007],(0.1;0.2],<=-0.01,(-0.001;0.001]
<=-5.8,(-30.0;-20.0],(-0.0018;0.0001],>0.02,(-0.1;0.0],<=-0.01,<=-0.002
<=-5.8,(-20.0;-10.0],<=-0.0063,(-0.016;-0.009],(-0.1;0.0],<=-0.01,<=-0.002
<=-5.8,(-20.0;-10.0],(-0.0018;0.0001],(-0.004;0.002],(0.0;0.1],<=-0.01,<=-0.002
<=-5.8,(0.0;20.0],(-0.0063;-0.004],(0.002;0.007],(-0.1;0.0],<=-0.01,(-0.002;-0.001]
(-5.8;-3.9],(-40.0;-30.0],(0.0041;0.0062],(-0.016;-0.009],(0.0;0.1],<=-0.01,<=-0.002
(-3.9;-2.5],(0.0;20.0],(-0.0018;0.0001],(-0.016;-0.009],(0.0;0.1],<=-0.01,(-0.002;-0.001]
<=-5.8,(-30.0;-20.0],<=-0.0063,(0.012;0.02],(-0.1;0.0],<=-0.01,(-0.002;-0.001]
<=-5.8,<=-40.0,>0.0062,(0.012;0.02],(0.0;0.1],<=-0.01,(-0.001;0.001]
(-2.5;-0.9],<=-40.0,(-0.0018;0.0001],(0.012;0.02],(0.0;0.1],<=-0.01,(-0.001;0.001]
(-5.8;-3.9],(-10.0;0.0],(0.0041;0.0062],(0.012;0.02],(-0.1;0.0],<=-0.01,(-0.002;-0.001]
<=-5.8,(-20.0;-10.0],(0.0021;0.0041],(0.007;0.012],(0.0;0.1],<=-0.01,(-0.001;0.001]
<=-5.8,(-20.0;-10.0],<=-0.0063,>0.02,(0.0;0.1],<=-0.01,<=-0.002
<=-5.8,>20.0,(-0.004;-0.0018],(0.012;0.02],(-0.1;0.0],<=-0.01,(-0.002;-0.001]
(-2.5;-0.9],>20.0,(-0.0018;0.0001],>0.02,(0.0;0.1],<=-0.01,(-0.001;0.001]
(-2.5;-0.9],(-30.0;-20.0],(0.0041;0.0062],<=-0.016,(0.0;0.1],<=-0.01,(-0.002;-0.001]
<=-5.8,<=-40.0,(-0.0018;0.0001],>0.02,(0.0;0.1],<=-0.01,(-0.002;-0.001]
(-5.8;-3.9],(-40.0;-30.0],(0.0021;0.0041],>0.02,(0.0;0.1],<=-0.01,(-0.002;-0.001]
<=-5.8,(-20.0;-10.0],(-0.004;-0.0018],>0.02,(0.0;0.1],<=-0.01,<=-0.002
(-5.8;-3.9],<=-40.0,<=-0.0063,<=-0.016,(0.0;0.1],<=-0.01,(-0.001;0.001]
(-3.9;-2.5],(-30.0;-20.0],(-0.004;-0.0018],>0.02,(0.0;0.1],<=-0.01,<=-0.002
(-3.9;-2.5],(-10.0;0.0],(0.0021;0.0041],(-0.016;-0.009],(0.0;0.1],<=-0.01,(-0.001;0.001]
(-2.5;-0.9],(-10.0;0.0],(0.0021;0.0041],(0.007;0.012],(0.0;0.1],<=-0.01,(-0.001;0.001]
(-3.9;-2.5],(0.0;20.0],<=-0.0063,<=-0.016,(-0.1;0.0],<=-0.01,(-0.001;0.001]
(-5.8;-3.9],<=-40.0,(0.0041;0.0062],(-0.016;-0.009],(-0.1;0.0],<=-0.01,(-0.002;-0.001]
(-5.8;-3.9],(0.0;20.0],(-0.0018;0.0001],(-0.016;-0.009],(-0.1;0.0],<=-0.01,<=-0.002
(-2.5;-0.9],(-30.0;-20.0],<=-0.0063,(-0.004;0.002],(-0.1;0.0],<=-0.01,(0.001;0.002]
(-2.5;-0.9],(0.0;20.0],(0.0041;0.0062],(-0.004;0.002],(-0.1;0.0],<=-0.01,(-0.001;0.001]
<=-5.8,(-10.0;0.0],(0.0001;0.0021],(-0.004;0.002],(-0.1;0.0],<=-0.01,<=-0.002
<=-5.8,(-30.0;-20.0],>0.0062,(-0.009;-0.004],(-0.1;0.0],<=-0.01,(-0.002;-0.001]
<=-5.8,>20.0,(0.0021;0.0041],(-0.016;-0.009],(-0.1;0.0],<=-0.01,(-0.002;-0.001]
(-3.9;-2.5],(-20.0;-10.0],(-0.0063;-0.004],(-0.009;-0.004],(-0.1;0.0],<=-0.01,<=-0.002
(-3.9;-2.5],(-20.0;-10.0],(-0.0018;0.0001],(-0.016;-0.009],(-0.1;0.0],<=-0.01,<=-0.002
(-2.5;-0.9],(-40.0;-30.0],(-0.0018;0.0001],(-0.004;0.002],(-0.1;0.0],<=-0.01,<=-0.002
<=-5.8,(-20.0;-10.0],(0.0021;0.0041],(-0.004;0.002],(-0.1;0.0],<=-0.01,(-0.001;0.001]
<=-5.8,>20.0,(0.0021;0.0041],(-0.009;-0.004],(-0.1;0.0],<=-0.01,<=-0.002
(-3.9;-2.5],<=-40.0,<=-0.0063,<=-0.016,(-0.1;0.0],<=-0.01,<=-0.002
<=-5.8,(0.0;20.0],(0.0001;0.0021],(-0.009;-0.004],(-0.1;0.0],<=-0.01,<=-0.002
(-3.9;-2.5],(-20.0;-10.0],>0.0062,(-0.004;0.002],(-0.1;0.0],<=-0.01,(-0.002;-0.001]
<=-5.8,(-20.0;-10.0],(0.0021;0.0041],(-0.009;-0.004],(-0.1;0.0],<=-0.01,<=-0.002
(-3.9;-2.5],<=-40.0,(-0.004;-0.0018],(-0.016;-0.009],(0.0;0.1],<=-0.01,(-0.001;0.001]
(-2.5;-0.9],<=-40.0,(0.0021;0.0041],<=-0.016,(0.0;0.1],<=-0.01,(-0.002;-0.001]
(-5.8;-3.9],(0.0;20.0],<=-0.0063,<=-0.016,(0.0;0.1],<=-0.01,(-0.002;-0.001]
<=-5.8,(-30.0;-20.0],(0.0001;0.0021],>0.02,(0.0;0.1],<=-0.01,(-0.002;-0.001]
(-3.9;-2.5],(-10.0;0.0],>0.0062,<=-0.016,(0.0;0.1],<=-0.01,(-0.001;0.001]
(-2.5;-0.9],>20.0,>0.0062,<=-0.016,(0.0;0.1],<=-0.01,(-0.001;0.001]
<=-5.8,(-40.0;-30.0],(-0.0018;0.0001],(0.007;0.012],(-0.1;0.0],<=-0.01,(-0.002;-0.001]
(-5.8;-3.9],(-30.0;-20.0],>0.0062,(0.012;0.02],(-0.1;0.0],<=-0.01,<=-0.002
(-5.8;-3.9],(-30.0;-20.0],(-0.004;-0.0018],(0.007;0.012],(-0.1;0.0],<=-0.01,<=-0.002
<=-5.8,(0.0;20.0],<=-0.0063,>0.02,(0.0;0.1],<=-0.01,(-0.002;-0.001]
<=-5.8,(-10.0;0.0],<=-0.0063,>0.02,(0.0;0.1],<=-0.01,(-0.002;-0.001]
<=-5.8,(0.0;20.0],>0.0062,(0.012;0.02],(-0.1;0.0],<=-0.01,(-0.002;-0.001]
<=-5.8,(-30.0;-20.0],(-0.0063;-0.004],>0.02,(0.0;0.1],<=-0.01,(-0.002;-0.001]
(-2.5;-0.9],(-10.0;0.0],(0.0041;0.0062],>0.02,(0.0;0.1],<=-0.01,>0.002
(-3.9;-2.5],(-30.0;-20.0],(0.0041;0.0062],>0.02,(0.0;0.1],<=-0.01,(-0.002;-0.001]
(-3.9;-2.5],(-30.0;-20.0],(0.0001;0.0021],>0.02,(0.0;0.1],<=-0.01,(-0.001;0.001]
(-2.5;-0.9],(-30.0;-20.0],(-0.004;-0.0018],(0.012;0.02],(0.0;0.1],<=-0.01,(-0.002;-0.001]
<=-5.8,(-20.0;-10.0],>0.0062,>0.02,(-0.1;0.0],<=-0.01,(-0.001;0.001]
(-5.8;-3.9],(-30.0;-20.0],(-0.004;-0.0018],>0.02,(-0.1;0.0],<=-0.01,<=-0.002
<=-5.8,(-30.0;-20.0],(-0.004;-0.0018],(-0.004;0.002],(-0.1;0.0],<=-0.01,<=-0.002
(-3.9;-2.5],(-30.0;-20.0],>0.0062,(0.002;0.007],(-0.1;0.0],<=-0.01,(-0.001;0.001]
(-5.8;-3.9],(0.0;20.0],(-0.004;-0.0018],(0.012;0.02],(0.0;0.1],<=-0.01,<=-0.002
(-3.9;-2.5],(-10.0;0.0],>0.0062,>0.02,(0.0;0.1],<=-0.01,<=-0.002
(-2.5;-0.9],(-30.0;-20.0],(-0.0063;-0.004],(-0.016;-0.009],(0.1;0.2],<=-0.01,(-0.001;0.001]
(-3.9;-2.5],(0.0;20.0],(-0.0018;0.0001],(0.007;0.012],(-0.1;0.0],<=-0.01,<=-0.002
<=-5.8,>20.0,(0.0021;0.0041],(0.012;0.02],(0.0;0.1],<=-0.01,(-0.001;0.001]
(-2.5;-0.9],(-30.0;-20.0],(-0.0018;0.0001],>0.02,(0.0;0.1],<=-0.01,(0.001;0.002]
(-5.8;-3.9],(-20.0;-10.0],(0.0001;0.0021],(0.012;0.02],(-0.1;0.0],<=-0.01,<=-0.002
(-5.8;-3.9],(-30.0;-20.0],(-0.0063;-0.004],>0.02,(0.0;0.1],<=-0.01,(-0.002;-0.001]
<=-5.8,(-10.0;0.0],(-0.0018;0.0001],>0.02,(0.0;0.1],<=-0.01,<=-0.002
<=-5.8,>20.0,(-0.004;-0.0018],(0.002;0.007],(-0.1;0.0],<=-0.01,(-0.002;-0.001]
(-3.9;-2.5],<=-40.0,(0.0021;0.0041],<=-0.016,(0.0;0.1],<=-0.01,(-0.002;-0.001]
<=-5.8,(-40.0;-30.0],(-0.0063;-0.004],>0.02,(0.0;0.1],<=-0.01,(-0.002;-0.001]
<=-5.8,(-20.0;-10.0],<=-0.0063,<=-0.016,(0.0;0.1],<=-0.01,(-0.001;0.001]
(-0.9;1.4],<=-40.0,>0.0062,(0.007;0.012],(-0.1;0.0],<=-0.01,(0.001;0.002]
(-2.5;-0.9],(-20.0;-10.0],(0.0041;0.0062],<=-0.016,(0.0;0.1],<=-0.01,(-0.001;0.001]
<=-5.8,(-10.0;0.0],(-0.0063;-0.004],(0.012;0.02],(-0.1;0.0],<=-0.01,<=-0.002
(-3.9;-2.5],(-20.0;-10.0],(0.0001;0.0021],<=-0.016,(0.0;0.1],<=-0.01,(-0.001;0.001]
(-2.5;-0.9],<=-40.0,(-0.0018;0.0001],(0.012;0.02],(0.0;0.1],<=-0.01,(-0.002;-0.001]
(-5.8;-3.9],(-20.0;-10.0],(0.0021;0.0041],(0.007;0.012],(-0.1;0.0],<=-0.01,(-0.001;0.001]
<=-5.8,(-40.0;-30.0],(-0.0063;-0.004],(0.012;0.02],(0.0;0.1],<=-0.01,(-0.001;0.001]
<=-5.8,(-10.0;0.0],(0.0021;0.0041],(0.007;0.012],(-0.1;0.0],<=-0.01,(-0.001;0.001]
<=-5.8,(-10.0;0.0],(-0.0018;0.0001],(0.012;0.02],(0.0;0.1],<=-0.01,(-0.001;0.001]
(-3.9;-2.5],<=-40.0,<=-0.0063,(-0.016;-0.009],(0.0;0.1],<=-0.01,(-0.001;0.001]
(-2.5;-0.9],(-30.0;-20.0],(0.0021;0.0041],(0.007;0.012],(0.1;0.2],<=-0.01,(0.001;0.002]
(-3.9;-2.5],(0.0;20.0],<=-0.0063,(0.007;0.012],(-0.2;-0.1],<=-0.01,<=-0.002
(-3.9;-2.5],(0.0;20.0],(-0.0018;0.0001],(-0.009;-0.004],(-0.1;0.0],<=-0.01,<=-0.002
(-2.5;-0.9],<=-40.0,(-0.004;-0.0018],(-0.016;-0.009],>0.2,<=-0.01,(-0.001;0.001]
<=-5.8,(-30.0;-20.0],(-0.004;-0.0018],(0.002;0.007],(0.1;0.2],<=-0.01,(-0.001;0.001]
(-3.9;-2.5],(-30.0;-20.0],(0.0001;0.0021],(0.007;0.012],>0.2,<=-0.01,(0.001;0.002]
(-5.8;-3.9],(-20.0;-10.0],(-0.004;-0.0018],(-0.016;-0.009],>0.2,<=-0.01,(-0.001;0.001]
<=-5.8,<=-40.0,>0.0062,(-0.004;0.002],>0.2,<=-0.01,(-0.001;0.001]
(-5.8;-3.9],(-30.0;-20.0],<=-0.0063,(-0.016;-0.009],>0.2,<=-0.01,(0.001;0.002]
(-2.5;-0.9],(-40.0;-30.0],(-0.004;-0.0018],<=-0.016,>0.2,<=-0.01,(0.001;0.002]
(-3.9;-2.5],(-40.0;-30.0],(0.0041;0.0062],(-0.009;-0.004],>0.2,<=-0.01,(0.001;0.002]
<=-5.8,(-40.0;-30.0],(0.0021;0.0041],(0.007;0.012],>0.2,<=-0.01,(-0.001;0.001]
<=-5.8,(-40.0;-30.0],(-0.004;-0.0018],>0.02,<=-0.2,<=-0.01,(-0.002;-0.001]
(-2.5;-0.9],(-30.0;-20.0],(0.0021;0.0041],(0.007;0.012],>0.2,<=-0.01,(0.001;0.002]
(-3.9;-2.5],(-20.0;-10.0],(-0.0063;-0.004],(-0.004;0.002],(-0.2;-0.1],<=-0.01,(-0.002;-0.001]
(-3.9;-2.5],(-40.0;-30.0],(0.0001;0.0021],>0.02,>0.2,<=-0.01,>0.002
(-5.8;-3.9],(-40.0;-30.0],(-0.004;-0.0018],(-0.009;-0.004],(0.1;0.2],<=-0.01,(-0.002;-0.001]
<=-5.8,<=-40.0,(0.0001;0.0021],(-0.016;-0.009],(0.1;0.2],<=-0.01,(-0.002;-0.001]
(-5.8;-3.9],(-30.0;-20.0],(-0.004;-0.0018],(0.012;0.02],(0.1;0.2],<=-0.01,(-0.002;-0.001]
(-2.5;-0.9],<=-40.0,(0.0021;0.0041],(0.002;0.007],(-0.2;-0.1],<=-0.01,<=-0.002
(-2.5;-0.9],<=-40.0,>0.0062,(0.012;0.02],>0.2,<=-0.01,(-0.001;0.001]
(-5.8;-3.9],(-20.0;-10.0],<=-0.0063,(0.012;0.02],(0.1;0.2],<=-0.01,(-0.001;0.001]
(-3.9;-2.5],<=-40.0,(0.0001;0.0021],>0.02,<=-0.2,<=-0.01,<=-0.002
(-2.5;-0.9],<=-40.0,>0.0062,(-0.016;-0.009],>0.2,<=-0.01,(0.001;0.002]
<=-5.8,(-40.0;-30.0],(-0.0063;-0.004],<=-0.016,>0.2,<=-0.01,(-0.002;-0.001]
(-3.9;-2.5],<=-40.0,(-0.0018;0.0001],(-0.004;0.002],>0.2,<=-0.01,(-0.001;0.001]
(-5.8;-3.9],>20.0,(0.0021;0.0041],(0.007;0.012],<=-0.2,<=-0.01,<=-0.002
(-3.9;-2.5],<=-40.0,>0.0062,(0.007;0.012],>0.2,<=-0.01,(0.001;0.002]
(-5.8;-3.9],<=-40.0,<=-0.0063,(-0.004;0.002],>0.2,<=-0.01,(-0.002;-0.001]
