% This data set is also obtained from the task of controlling a F16
% aircraft, although the target variable and attributes are different
% from the ailerons domain. In this case the goal variable is related to
% an action taken on the elevators of the aircraft.
% 
% Characteristics: 8752 cases, 19 continuous attributes 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original source: Experiments of Rui Camacho (rcamacho@garfield.fe.up.pt). 
@relation elevators
@attribute climbRate numeric
@attribute Sgz numeric
@attribute p numeric
@attribute q numeric
@attribute curRoll numeric
@attribute absRoll numeric
@attribute diffClb numeric
@attribute diffRollRate numeric
@attribute diffDiffClb numeric
@attribute SaTime1 numeric
@attribute SaTime2 numeric
@attribute SaTime3 numeric
@attribute SaTime4 numeric
@attribute diffSaTime1 numeric
@attribute diffSaTime2 numeric
@attribute diffSaTime3 numeric
@attribute diffSaTime4 numeric
@attribute Sa numeric
@attribute class {<=0.017,(0.017;0.019],(0.019;0.02],(0.02;0.024],>0.024}

@data
-334.0,-58.0,-0.73,-0.26,0.1,-6.0,21.0,-0.012,0.8,-0.0004,-0.0004,-0.0004,-0.0006,0.0001,0.0,0.0002,0.0,-0.0006,<=0.017
-505.0,-33.0,-0.04,-0.19,-0.2,-6.0,6.0,0.002,2.3,-0.0003,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-545.0,-77.0,-0.14,0.02,0.7,-17.0,12.0,0.012,0.7,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,<=0.017
-769.0,4.0,-0.3,0.13,-1.3,-11.0,-11.0,0.011,0.3,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-167.0,-40.0,-0.03,-0.12,-1.3,-7.0,19.0,0.014,-1.6,-0.0002,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,0.0,-0.0002,<=0.017
168.0,-61.0,-0.54,-0.25,-1.1,-7.0,29.0,0.014,-0.1,-0.0002,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-461.0,-25.0,-0.23,-0.23,0.3,-6.0,19.0,-0.009,2.8,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-535.0,-16.0,-0.23,-0.16,1.5,-5.0,2.0,-0.012,4.7,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-51.0,-42.0,-0.32,-0.23,-0.7,-11.0,26.0,0.014,1.6,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-196.0,-16.0,-0.3,-0.12,-0.9,-11.0,15.0,0.014,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-33.0,-34.0,-0.18,-0.11,0.6,-6.0,4.0,0.001,1.8,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,-0.0001,0.0,-0.0004,<=0.017
-375.0,-64.0,0.11,-0.12,-0.6,-7.0,14.0,0.009,-0.2,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-357.0,-83.0,-0.15,-0.24,-1.3,-11.0,25.0,0.025,1.5,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-665.0,4.0,-0.17,-0.01,0.9,-5.0,1.0,-0.005,-0.2,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-189.0,-48.0,-0.13,-0.18,0.2,-9.0,21.0,-0.014,0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,<=0.017
-700.0,3.0,0.25,-0.05,0.6,-5.0,15.0,-0.001,-2.1,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-371.0,-47.0,0.12,0.31,2.2,-11.0,-29.0,-0.064,-0.8,-0.0017,-0.0017,-0.0017,-0.0017,0.0,0.0,0.0,0.0,-0.0017,<=0.017
91.0,-77.0,-0.2,-0.28,0.5,-7.0,33.0,-0.016,-0.3,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,<=0.017
-327.0,-42.0,-0.19,-0.18,-0.2,-6.0,18.0,-0.011,0.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,<=0.017
-228.0,-92.0,-0.5,-0.42,-1.9,-12.0,42.0,0.011,2.7,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,<=0.017
-459.0,-71.0,0.05,-0.28,0.6,-6.0,22.0,-0.004,1.6,-0.0005,-0.0005,-0.0005,-0.0005,-0.0002,0.0,0.0,0.0,-0.0005,<=0.017
-326.0,-7.0,-0.22,-0.25,-0.2,-6.0,16.0,-0.014,3.4,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,<=0.017
-825.0,32.0,-0.23,0.1,1.3,-10.0,-8.0,-0.011,0.5,-0.0007,-0.0007,-0.0007,-0.0008,0.0,0.0,0.0001,0.0,-0.0008,<=0.017
-620.0,-64.0,0.13,-0.2,0.5,-7.0,19.0,-0.017,2.0,-0.0006,-0.0007,-0.0007,-0.0007,0.0001,0.0,0.0,0.0,-0.0007,<=0.017
-131.0,-20.0,-0.47,-0.11,0.4,-7.0,13.0,-0.01,-0.4,-0.0005,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0001,0.0,-0.0006,<=0.017
-253.0,-11.0,-0.38,-0.15,0.5,-6.0,4.0,-0.007,3.5,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-144.0,-32.0,0.09,0.29,-1.1,-8.0,-26.0,0.003,-2.1,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-267.0,-46.0,0.02,0.07,1.9,-4.0,-9.0,-0.012,0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-269.0,-74.0,-0.19,-0.12,-1.3,-14.0,21.0,0.039,0.2,-0.0002,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,0.0,-0.0002,<=0.017
-697.0,-4.0,-0.21,0.01,1.4,-5.0,-1.0,-0.012,-0.4,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
260.0,16.0,0.39,0.03,0.5,-5.0,-3.0,0.005,-0.1,-0.0002,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,0.0,-0.0002,<=0.017
-637.0,-31.0,-0.25,0.09,1.6,-4.0,-11.0,-0.025,-0.3,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,<=0.017
-66.0,-86.0,0.63,0.04,0.5,-5.0,-13.0,-0.001,1.7,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-223.0,-77.0,0.0,-0.03,-1.0,-9.0,7.0,0.017,-0.4,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-476.0,-36.0,-0.51,0.1,0.3,-6.0,-11.0,-0.026,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0001,0.0,0.0,0.0,-0.0008,<=0.017
-537.0,-36.0,0.12,0.12,0.1,-7.0,-12.0,-0.012,0.6,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,<=0.017
157.0,-14.0,-0.28,-0.32,-1.1,-11.0,32.0,0.025,1.0,-0.0002,-0.0002,-0.0002,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-566.0,-66.0,-0.36,-0.38,0.3,-13.0,29.0,-0.007,5.9,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,<=0.017
-135.0,-46.0,-0.44,0.0,0.2,-13.0,5.0,-0.013,0.3,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,<=0.017
-666.0,20.0,-0.25,0.16,0.9,-7.0,-17.0,0.001,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
165.0,-42.0,-0.31,-0.26,0.1,-6.0,30.0,-0.004,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-148.0,12.0,0.48,-0.11,1.5,-5.0,27.0,0.003,-3.8,-0.0003,-0.0002,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,-0.0002,<=0.017
-231.0,-72.0,-0.3,-0.21,-0.2,-13.0,30.0,0.02,-0.8,-0.0004,-0.0004,-0.0004,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-534.0,-26.0,-0.2,-0.09,-0.3,-6.0,10.0,0.006,-0.6,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-290.0,-52.0,-0.4,-0.18,-0.1,-6.0,8.0,-0.007,3.5,-0.0004,-0.0005,-0.0005,-0.0005,0.0001,0.0,0.0,0.0,-0.0005,<=0.017
-577.0,-22.0,-0.3,0.03,0.4,-6.0,-3.0,-0.014,0.0,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,<=0.017
-424.0,-8.0,-0.48,-0.06,1.2,-11.0,7.0,-0.015,1.4,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,<=0.017
-556.0,-8.0,0.25,-0.29,0.9,-5.0,25.0,-0.002,3.0,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-515.0,-46.0,0.53,-0.38,0.9,-5.0,27.0,0.004,2.0,-0.0003,-0.0002,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,-0.0002,<=0.017
-363.0,-6.0,0.29,0.38,-0.7,-7.0,-41.0,0.008,0.1,-0.0002,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,0.0,-0.0002,<=0.017
-279.0,-33.0,-0.26,-0.31,0.3,-6.0,15.0,0.001,4.9,-0.0003,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-544.0,21.0,-0.19,0.12,0.5,-7.0,-12.0,-0.012,0.0,-0.0006,-0.0006,-0.0006,-0.0007,0.0,0.0,0.0001,0.0,-0.0007,<=0.017
-758.0,-69.0,-0.38,-0.05,1.8,-8.0,4.0,-0.014,1.3,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,<=0.017
-231.0,-39.0,-0.31,-0.17,0.3,-8.0,6.0,-0.002,1.0,-0.0004,-0.0004,-0.0004,-0.0005,0.0,0.0,0.0001,0.0,-0.0005,<=0.017
-369.0,-24.0,0.28,0.02,0.2,-7.0,-2.0,-0.002,0.1,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-157.0,-53.0,-0.27,-0.22,1.3,-12.0,13.0,-0.012,3.3,-0.0009,-0.0009,-0.0009,-0.0009,0.0001,0.0,0.0,0.0,-0.0009,<=0.017
-370.0,-46.0,-0.38,0.08,0.1,-13.0,-1.0,0.012,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,<=0.017
-347.0,-84.0,-0.3,-0.07,1.3,-5.0,7.0,-0.029,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,<=0.017
28.0,-50.0,-0.15,-0.25,-0.7,-10.0,29.0,0.012,0.3,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-570.0,-58.0,-0.28,-0.1,1.2,-11.0,16.0,0.006,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,<=0.017
81.0,-56.0,-0.31,-0.18,-0.8,-7.0,20.0,0.007,-0.2,-0.0003,-0.0003,-0.0003,-0.0003,0.0001,0.0,0.0,0.0,-0.0003,<=0.017
-408.0,-29.0,0.04,0.06,0.9,-9.0,-4.0,-0.01,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,<=0.017
-289.0,-20.0,-0.25,-0.04,0.8,-6.0,3.0,-0.021,0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,<=0.017
-756.0,-50.0,0.33,-0.13,0.2,-7.0,7.0,-0.018,3.4,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,<=0.017
-73.0,-26.0,-0.32,-0.23,0.1,-7.0,27.0,-0.008,1.7,-0.0004,-0.0005,-0.0005,-0.0006,0.0001,0.0,0.0,0.0,-0.0006,<=0.017
-243.0,-17.0,0.02,0.03,-1.0,-8.0,-3.0,-0.002,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-37.0,22.0,-0.36,0.0,1.2,-6.0,1.0,-0.013,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0001,0.0,0.0,0.0,-0.0006,<=0.017
-241.0,-27.0,-0.17,0.01,-1.7,-9.0,2.0,-0.004,0.0,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,<=0.017
-13.0,-61.0,-0.7,-0.13,-0.2,-6.0,10.0,-0.011,0.2,-0.0004,-0.0005,-0.0005,-0.0006,0.0001,0.0,0.0001,0.0,-0.0006,<=0.017
-406.0,-15.0,-0.35,-0.19,1.1,-5.0,14.0,-0.004,3.3,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-396.0,-53.0,-0.7,-0.21,1.2,-12.0,10.0,-0.032,4.6,-0.0013,-0.0013,-0.0013,-0.0013,0.0,0.0,0.0,0.0,-0.0013,<=0.017
-497.0,-68.0,-0.37,-0.29,0.2,-13.0,36.0,-0.007,2.9,-0.0007,-0.0009,-0.0009,-0.0009,0.0002,0.0,0.0,0.0,-0.0009,<=0.017
-43.0,-41.0,-0.49,-0.1,1.2,-5.0,12.0,-0.017,0.0,-0.0004,-0.0006,-0.0006,-0.0006,0.0001,0.0,0.0001,0.0,-0.0006,<=0.017
-158.0,-64.0,0.04,-0.1,0.7,-9.0,12.0,-0.005,0.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,<=0.017
-311.0,-31.0,-0.27,-0.19,1.4,-11.0,20.0,-0.008,0.9,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,<=0.017
-375.0,-28.0,-0.12,-0.03,-0.8,-7.0,4.0,0.009,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-52.0,-14.0,-0.2,0.09,0.6,-6.0,-9.0,-0.001,0.0,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-463.0,-11.0,-0.64,-0.01,-0.7,-11.0,1.0,0.015,1.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-504.0,-47.0,-0.59,-0.32,-0.5,-6.0,17.0,0.007,4.9,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
150.0,-53.0,-0.07,-0.06,-1.6,-8.0,2.0,0.003,1.5,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-111.0,-50.0,-0.24,-0.1,-0.2,-10.0,11.0,-0.004,0.3,-0.0006,-0.0006,-0.0006,-0.0007,0.0,0.0,0.0001,0.0,-0.0007,<=0.017
-326.0,-68.0,-0.03,-0.19,1.8,-8.0,21.0,-0.011,0.6,-0.0007,-0.0007,-0.0007,-0.0007,-0.0001,0.0,0.0,0.0,-0.0007,<=0.017
-370.0,-10.0,-0.34,-0.12,-0.7,-7.0,15.0,0.008,-0.3,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
542.0,-52.0,-0.29,-0.23,-1.7,-8.0,25.0,0.02,0.5,-0.0002,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,0.0,-0.0002,<=0.017
-331.0,-57.0,-0.13,-0.03,0.0,-13.0,8.0,-0.01,0.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,<=0.017
-177.0,7.0,-0.31,-0.1,-0.7,-9.0,13.0,0.002,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-449.0,-17.0,-0.14,-0.15,0.4,-7.0,16.0,0.002,0.4,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-557.0,16.0,-0.28,0.05,-0.7,-7.0,-5.0,0.006,0.2,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-670.0,-53.0,-0.25,0.04,0.6,-12.0,2.0,-0.013,-0.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,<=0.017
-469.0,-52.0,-0.7,-0.23,0.7,-12.0,25.0,-0.015,2.5,-0.0008,-0.0011,-0.0011,-0.0011,0.0003,0.0,0.0,0.0,-0.0011,<=0.017
-452.0,-12.0,-0.44,-0.04,0.5,-8.0,5.0,0.005,0.3,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-126.0,-10.0,0.09,-0.1,-0.9,-8.0,14.0,0.008,-1.2,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-3.0,-49.0,-0.63,-0.12,-1.4,-11.0,14.0,0.026,0.6,-0.0002,-0.0003,-0.0003,-0.0003,0.0001,0.0,0.0,0.0,-0.0003,<=0.017
-172.0,-56.0,0.33,-0.07,0.5,-6.0,7.0,-0.006,-0.2,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-211.0,-22.0,-0.61,0.04,-0.3,-15.0,9.0,-0.019,0.6,-0.0012,-0.0013,-0.0013,-0.0013,0.0001,0.0,0.0,0.0,-0.0013,<=0.017
-258.0,-56.0,-0.77,-0.15,-0.3,-11.0,22.0,-0.005,-1.0,-0.0004,-0.0006,-0.0006,-0.0009,0.0002,0.0,0.0002,0.0,-0.0009,<=0.017
-195.0,-26.0,-0.38,-0.1,0.1,-9.0,13.0,-0.008,-0.2,-0.0005,-0.0006,-0.0006,-0.0007,0.0001,0.0,0.0001,0.0,-0.0007,<=0.017
-276.0,-40.0,-0.32,-0.14,0.5,-7.0,12.0,-0.015,2.3,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,<=0.017
-79.0,-21.0,-0.49,-0.15,0.2,-7.0,14.0,-0.004,0.6,-0.0003,-0.0004,-0.0004,-0.0005,0.0,0.0,0.0002,0.0,-0.0005,<=0.017
-327.0,-21.0,-0.12,-0.08,0.9,-5.0,11.0,-0.01,-1.1,-0.0005,-0.0005,-0.0005,-0.0005,-0.0001,0.0,0.0,0.0,-0.0005,<=0.017
-629.0,9.0,0.05,0.04,-0.5,-6.0,0.0,-0.002,-1.4,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
220.0,-25.0,-0.42,-0.14,-0.2,-6.0,16.0,-0.007,0.0,-0.0004,-0.0005,-0.0005,-0.0005,0.0001,0.0,0.0,0.0,-0.0005,<=0.017
-206.0,-44.0,-0.41,-0.08,0.3,-7.0,8.0,-0.018,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0001,0.0,-0.0007,<=0.017
-71.0,-58.0,-0.08,-0.08,-1.7,-13.0,20.0,0.028,-0.2,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-295.0,-17.0,-0.08,-0.11,-0.7,-8.0,18.0,0.002,-0.7,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
58.0,-42.0,-0.26,-0.18,-0.8,-11.0,26.0,0.016,-0.7,-0.0003,-0.0004,-0.0004,-0.0004,0.0001,0.0,0.0,0.0,-0.0004,<=0.017
-350.0,-39.0,-0.08,-0.04,-0.5,-7.0,10.0,-0.005,-1.5,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-253.0,-67.0,-0.17,-0.09,-0.6,-15.0,23.0,-0.009,-0.2,-0.0008,-0.001,-0.001,-0.0011,0.0002,0.0,0.0001,0.0,-0.0011,<=0.017
-55.0,-41.0,-0.09,-0.03,0.4,-6.0,5.0,0.001,-0.6,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-380.0,-21.0,-0.32,-0.17,-0.8,-9.0,21.0,0.01,-0.2,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-495.0,5.0,-0.29,-0.21,0.7,-10.0,26.0,-0.001,-0.5,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,<=0.017
-132.0,27.0,-0.25,-0.02,-0.4,-6.0,8.0,0.01,-0.8,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-176.0,-43.0,-0.42,-0.16,0.2,-7.0,13.0,-0.013,1.1,-0.0006,-0.0007,-0.0007,-0.0007,0.0001,0.0,0.0,0.0,-0.0007,<=0.017
-169.0,-37.0,-0.16,-0.02,-1.3,-8.0,4.0,0.012,-0.2,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-103.0,11.0,0.49,-0.14,1.6,-4.0,21.0,0.002,-2.8,-0.0003,-0.0003,-0.0003,-0.0002,0.0,0.0,-0.0002,0.0,-0.0002,<=0.017
-512.0,-31.0,-0.52,-0.04,0.1,-10.0,6.0,0.02,0.1,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-98.0,-14.0,-0.34,-0.02,-0.7,-8.0,3.0,0.003,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-526.0,-26.0,-0.04,-0.02,-0.1,-6.0,2.0,-0.003,0.1,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-272.0,-17.0,-0.37,-0.11,0.3,-9.0,17.0,-0.011,0.0,-0.0004,-0.0005,-0.0005,-0.0007,0.0001,0.0,0.0002,0.0,-0.0007,<=0.017
-126.0,-51.0,0.51,-0.1,-0.3,-10.0,21.0,0.0,-1.1,-0.0008,-0.0006,-0.0006,-0.0006,-0.0003,0.0,0.0,0.0,-0.0006,<=0.017
-273.0,-33.0,-0.28,-0.32,-0.8,-8.0,6.0,0.006,4.6,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
167.0,-32.0,-0.17,-0.19,0.3,-6.0,21.0,0.003,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,<=0.017
-323.0,-41.0,0.03,-0.07,0.0,-6.0,8.0,0.001,-0.5,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,<=0.017
-514.0,-30.0,-0.1,-0.02,0.5,-10.0,7.0,-0.004,-0.7,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,<=0.017
-206.0,12.0,0.48,-0.17,1.4,-5.0,34.0,0.003,-1.5,-0.0002,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,0.0,-0.0002,<=0.017
-552.0,-17.0,-0.14,-0.03,0.5,-5.0,8.0,-0.011,-0.9,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-15.0,-46.0,-0.13,-0.17,-0.7,-8.0,20.0,-0.003,-0.4,-0.0004,-0.0005,-0.0005,-0.0005,0.0001,0.0,0.0,0.0,-0.0005,<=0.017
