% This database was designed on the basis of data provided by US Census
% Bureau [http://www.census.gov] (under Lookup Access
% [http://www.census.gov/cdrom/lookup]: Summary Tape File 1). The data
% were collected as part of the 1990 US census. These are mostly counts
% cumulated at different survey levels. For the purpose of this data set
% a level State-Place was used. Data from all states was obtained. Most
% of the counts were changed into appropriate proportions.  There are 4
% different data sets obtained from this database: House(8H) House(8L)
% House(16H) House(16L) These are all concerned with predicting the
% median price of the house in the region based on demographic
% composition and a state of housing market in the region. A number in
% the name signifies the number of attributes of the data set. A
% following letter denotes a very rough approximation to the difficulty
% of the task. For Low task difficulty, more correlated attributes were
% chosen as signified by univariate smooth fit of that input on the
% target. Tasks with High difficulty have had their attributes chosen to
% make the modelling more difficult due to higher variance or lower
% correlation of the inputs to the target.
% 
% Original source: DELVE repository of data. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 22784 cases, 9 continuous attributes.
@relation house_8L.arff
@attribute P3 numeric
@attribute P6p4 numeric
@attribute P11p3 numeric
@attribute P16p2 numeric
@attribute P19p2 numeric
@attribute H5p2 numeric
@attribute H15p1 numeric
@attribute H40p4 numeric
@attribute class {<=18400.0,(18400.0;28100.0],(28100.0;39800.0],(39800.0;65200.0],>65200.0}

@data
231.0,0.0016779,0.5067114,0.7662338,0.0,0.0169492,5.2263158,1.0,<=18400.0
52.0,0.0,0.5,0.6538462,0.0,0.1,6.0,1.0,<=18400.0
25.0,0.0,0.4333333,0.52,0.0,0.0909091,5.5882353,0.0,<=18400.0
48.0,0.0,0.4933333,0.8125,0.0,0.0,5.0714286,0.0,<=18400.0
39.0,0.0,0.4516129,0.7435897,0.0,0.6,5.5294118,1.0,<=18400.0
34.0,0.0,0.48,0.7941176,0.0,0.0,5.3333333,0.0,<=18400.0
92.0,0.0,0.3302326,0.6195652,0.0,0.0,5.6805556,0.0,<=18400.0
61.0,0.0,0.4901961,0.704918,0.0,0.0,6.037037,0.0,<=18400.0
92.0,0.0090498,0.438914,0.7282609,0.0,0.4117647,5.9506173,0.8571429,<=18400.0
85.0,0.0,0.3842795,0.6352941,0.4823529,0.0434783,5.4827586,1.0,<=18400.0
24.0,0.0,0.4754098,0.75,0.0,0.0,5.8421053,0.0,<=18400.0
58.0,0.0,0.4661654,0.6034483,0.0,0.2,5.1153846,1.0,<=18400.0
151.0,0.0,0.4758454,0.7350993,0.589404,0.0,5.4745763,0.0,<=18400.0
154.0,0.0,0.5,0.6753247,0.0,0.0909091,5.5894737,0.8,<=18400.0
13.0,0.0,0.4318182,0.9230769,0.0,0.0,5.7272727,0.0,<=18400.0
210.0,0.0016207,0.4602917,0.7095238,0.5809524,0.0454545,5.6583333,1.0,<=18400.0
136.0,0.0,0.4507042,0.5882353,0.0,0.2857143,5.8474576,0.8333333,<=18400.0
22.0,0.0,0.5531915,0.7272727,0.0,0.0,6.1666667,0.0,<=18400.0
44.0,0.0,0.5175439,0.7045455,0.0,0.0,5.8536585,0.0,<=18400.0
19.0,0.0,0.4791667,0.7368421,0.0,0.2,5.9285714,1.0,<=18400.0
84.0,0.0,0.295203,0.6904762,0.0,0.1666667,5.1269841,1.0,<=18400.0
24.0,0.0,0.4655172,0.7916667,0.0,0.0,5.1304348,0.0,<=18400.0
214.0,0.0020704,0.4575569,0.6588785,0.0,0.1458333,6.2285714,0.5714286,<=18400.0
92.0,0.0,0.4861111,0.7282609,0.0,0.1,6.1392405,0.0,<=18400.0
726.0,0.0,0.4223732,0.6983471,0.0606061,0.0944444,5.3651685,0.8235294,<=18400.0
83.0,0.0,0.4251497,0.5903614,0.0,0.0714286,5.8421053,1.0,<=18400.0
28.0,0.0,0.559322,0.5714286,0.0,0.1538462,5.4166667,0.5,<=18400.0
26.0,0.0,0.3857143,0.6538462,0.0,0.1428571,6.5714286,1.0,<=18400.0
174.0,0.002439,0.4195122,0.6321839,0.0057471,0.1666667,5.627907,1.0,<=18400.0
94.0,0.0,0.4130435,0.7446809,0.0,0.0,5.3768116,0.0,<=18400.0
131.0,0.0,0.4264706,0.5496183,0.0,0.0416667,5.8333333,1.0,<=18400.0
19.0,0.0,0.5245902,0.8947368,0.0,0.0,5.2777778,0.0,<=18400.0
89.0,0.0046083,0.4331797,0.6404494,0.0,0.0666667,6.1408451,1.0,<=18400.0
132.0,0.0,0.4576271,0.6666667,0.0,0.1395349,6.0186916,1.0,<=18400.0
20.0,0.0,0.4130435,0.6,0.0,0.0,5.0,0.0,<=18400.0
387.0,0.0011976,0.405988,0.5503876,0.0,0.2352941,5.8982456,0.4375,<=18400.0
57.0,0.0,0.4055944,0.6491228,0.0,0.2631579,6.2222222,0.8,<=18400.0
86.0,0.0,0.4752475,0.7790698,0.0,0.1,5.421875,1.0,<=18400.0
329.0,0.001182,0.4078014,0.6170213,0.0,0.1896552,5.7598253,0.6363636,<=18400.0
74.0,0.0,0.4564103,0.6756757,0.0,0.1666667,5.0408163,1.0,<=18400.0
49.0,0.0071942,0.5395683,0.8571429,0.0,0.2,5.4222222,0.0,<=18400.0
122.0,0.0,0.4836364,0.6803279,0.0,0.0833333,5.7282609,1.0,<=18400.0
116.0,0.0376569,0.4728033,0.5775862,0.0086207,0.3043478,5.6179775,1.0,<=18400.0
76.0,0.0,0.4,0.8684211,0.0,0.0,4.4363636,0.0,<=18400.0
141.0,0.0,0.4233577,0.5319149,0.0,0.2727273,5.980198,0.8333333,<=18400.0
47.0,0.0,0.5079365,0.6595745,0.0,0.0526316,4.7560976,1.0,<=18400.0
101.0,0.0,0.532567,0.7821782,0.0,0.3846154,5.8125,1.0,<=18400.0
22.0,0.0,0.5,0.8636364,0.0,0.2,5.6666667,1.0,<=18400.0
19.0,0.0,0.5306122,0.6842105,0.2105263,0.0,4.8333333,0.0,<=18400.0
18.0,0.0,0.3846154,0.6111111,0.0,0.0,5.4,0.0,<=18400.0
18.0,0.0,0.5185185,0.7777778,0.0,0.0,6.5294118,0.0,<=18400.0
81.0,0.0050251,0.4874372,0.7160494,0.0,0.0666667,5.7966102,1.0,<=18400.0
197.0,0.0,0.432304,0.5989848,0.0,0.1666667,6.2453988,0.625,<=18400.0
388.0,0.0,0.4180225,0.6262887,0.0,0.3255814,6.0944625,0.8571429,<=18400.0
44.0,0.0,0.4757282,0.5909091,0.0,0.0,6.8536585,0.0,<=18400.0
28.0,0.0,0.4769231,0.5714286,0.0,0.0,5.8846154,0.0,<=18400.0
73.0,0.0,0.4444444,0.6438356,0.0,0.2272727,5.5192308,1.0,<=18400.0
117.0,0.0,0.4893617,0.7521368,0.1196581,0.0833333,5.815534,1.0,<=18400.0
23.0,0.0,0.5333333,0.5652174,0.826087,0.1111111,5.25,1.0,<=18400.0
9.0,0.0,0.35,0.8888889,0.0,0.3333333,5.125,1.0,<=18400.0
144.0,0.0,0.4545455,0.7013889,0.0,0.1666667,6.0175439,0.5,<=18400.0
75.0,0.0,0.5142857,0.68,0.0,0.1666667,6.046875,0.0,<=18400.0
50.0,0.0,0.4632353,0.72,0.02,0.0,5.2368421,0.0,<=18400.0
56.0,0.0,0.399177,0.8214286,0.0,0.0,4.3478261,0.0,<=18400.0
67.0,0.0049505,0.450495,0.880597,0.0149254,0.0416667,5.2459016,1.0,<=18400.0
149.0,0.015625,0.45,0.6174497,0.0,0.2058824,6.373913,0.5714286,<=18400.0
244.0,0.0,0.5180723,0.7090164,0.0,0.2857143,5.6612903,0.8333333,<=18400.0
3.0,0.0,0.4285714,0.6666667,0.0,0.0,6.3333333,0.0,<=18400.0
85.0,0.0,0.4264706,0.6352941,0.0,0.0,5.6166667,0.0,<=18400.0
95.0,0.0,0.4589372,0.6421053,0.0,0.1515152,5.9625,0.6,<=18400.0
1486.0,0.0028818,0.4304428,0.6769852,0.0706595,0.1621622,5.5636026,0.8333333,<=18400.0
243.0,0.0,0.3935599,0.6255144,0.0,0.2631579,6.0514286,0.8,<=18400.0
583.0,0.0035186,0.401126,0.6500858,0.0325901,0.1785714,5.2447059,0.6666667,<=18400.0
49.0,0.008547,0.5128205,0.6938776,0.0,0.1666667,5.6428571,1.0,<=18400.0
141.0,0.0,0.4759036,0.6666667,0.0,0.1333333,5.7118644,0.5,<=18400.0
31.0,0.0,0.5,0.6774194,0.0,0.0,5.64,0.0,<=18400.0
63.0,0.0,0.4424242,0.8095238,0.0,0.0833333,6.0754717,0.0,<=18400.0
4.0,0.0,0.3571429,0.75,0.0,0.0,6.3333333,0.0,<=18400.0
167.0,0.0053333,0.496,0.6467066,0.0,0.3728814,5.2537313,0.9545455,<=18400.0
33.0,0.0,0.46875,0.8484848,0.0,0.25,5.7142857,1.0,<=18400.0
227.0,0.0060241,0.439759,0.6123348,0.0,0.2903226,6.2011494,0.4444444,<=18400.0
42.0,0.0,0.3719807,0.8095238,0.0,0.0,2.826087,0.0,<=18400.0
172.0,0.0045249,0.4276018,0.6511628,0.0,0.1923077,5.0859375,0.8,<=18400.0
85.0,0.0,0.4034335,0.6941176,0.0,0.2222222,6.1076923,0.75,<=18400.0
25.0,0.0,0.4393939,0.76,0.0,0.0,5.7272727,0.0,<=18400.0
11.0,0.0,0.5454545,0.8181818,0.0,0.0,4.8,0.0,<=18400.0
504.0,0.001476,0.4413284,0.734127,0.3353175,0.1714286,5.8097345,0.9444444,<=18400.0
71.0,0.0108108,0.4378378,0.7605634,0.0,0.1666667,6.15625,1.0,<=18400.0
45.0,0.0,0.4953271,0.7333333,0.0,0.0,5.5263158,0.0,<=18400.0
177.0,0.0,0.4657837,0.6666667,0.0,0.275,5.6530612,0.9090909,<=18400.0
107.0,0.0,0.4886364,0.7570093,0.0,0.0416667,5.2210526,0.5,<=18400.0
60.0,0.0,0.4895105,0.7,0.0,0.2727273,5.9074074,0.6666667,<=18400.0
39.0,0.0,0.3962264,0.7948718,0.025641,0.0,5.0,0.0,<=18400.0
319.0,0.0052562,0.3876478,0.6363636,0.0031348,0.2972973,6.0801688,0.7272727,<=18400.0
51.0,0.0,0.3695652,0.5294118,0.0,0.0,5.8285714,0.0,<=18400.0
34.0,0.0,0.5,0.5882353,0.0,0.0,6.3,0.0,<=18400.0
142.0,0.002611,0.4569191,0.7535211,0.0,0.1935484,5.5806452,0.3333333,<=18400.0
43.0,0.0,0.3980583,0.6511628,0.0697674,0.25,5.1944444,1.0,<=18400.0
47.0,0.0,0.3846154,0.6595745,0.0,0.2,5.7142857,1.0,<=18400.0
96.0,0.0,0.4810127,0.7083333,0.0104167,0.0,5.0735294,0.0,<=18400.0
264.0,0.0,0.4003091,0.6477273,0.0,0.1038961,5.7307692,0.875,<=18400.0
1261.0,0.0003023,0.4646312,0.6907216,0.0103093,0.198895,5.3406114,0.6111111,<=18400.0
77.0,0.0,0.3759124,0.8701299,0.0,0.0,5.1666667,0.0,<=18400.0
182.0,0.0,0.4435897,0.5824176,0.0,0.2083333,6.3888889,0.8,<=18400.0
109.0,0.0,0.4490566,0.7155963,0.2385321,0.0666667,5.5633803,0.0,<=18400.0
52.0,0.0,0.3376623,0.9038462,0.0,0.0,4.16,0.0,<=18400.0
8.0,0.0,0.45,0.625,0.0,0.0,6.25,0.0,<=18400.0
60.0,0.0,0.5099338,0.7333333,0.0,0.1111111,5.3703704,1.0,<=18400.0
60.0,0.0,0.5,0.7,0.0,0.2,5.84,1.0,<=18400.0
55.0,0.0,0.3173653,0.6727273,1.0,0.0769231,5.4210526,1.0,<=18400.0
1129.0,0.0201623,0.3388322,0.9751993,0.3410097,0.0,4.6538462,0.0,<=18400.0
71.0,0.0,0.5220126,0.5915493,0.0,0.0833333,6.1111111,1.0,<=18400.0
58.0,0.0,0.3305785,0.5862069,0.0,0.0,5.8333333,0.0,<=18400.0
43.0,0.0,0.4854369,0.744186,0.0,0.0,5.6578947,0.0,<=18400.0
9.0,0.0,0.6363636,0.8888889,0.1111111,0.2,7.2857143,0.0,<=18400.0
114.0,0.0,0.4349442,0.6842105,0.0087719,0.0952381,5.4666667,1.0,<=18400.0
136.0,0.0097087,0.4563107,0.625,0.0,0.2,5.4571429,0.5714286,<=18400.0
25.0,0.0,0.3571429,0.6,0.24,0.0,5.3913043,0.0,<=18400.0
29.0,0.0,0.4528302,0.5172414,0.0,0.1052632,4.9285714,0.0,<=18400.0
61.0,0.0,0.3989071,0.704918,0.0,0.0,4.8222222,0.0,<=18400.0
74.0,0.0,0.4468085,0.6756757,0.0,0.1666667,5.2153846,0.6666667,<=18400.0
343.0,0.001218,0.3690621,0.5364431,0.0,0.2325581,5.770428,0.9,<=18400.0
31.0,0.0,0.4927536,0.6774194,0.4516129,0.0,5.08,0.0,<=18400.0
31.0,0.0,0.4492754,0.6129032,0.0,0.6,6.1904762,1.0,<=18400.0
316.0,0.0016,0.4144,0.556962,0.0031646,0.1333333,5.93361,1.0,<=18400.0
66.0,0.0,0.4190871,0.8333333,0.0,0.0,2.9636364,0.0,<=18400.0
65.0,0.0,0.2993197,0.8,0.0,0.0,3.5,0.0,<=18400.0
52.0,0.0,0.5092593,0.5192308,0.0192308,0.3181818,5.96875,1.0,<=18400.0
205.0,0.0,0.3241061,0.8731707,0.0,0.0,4.6111111,0.0,<=18400.0
151.0,0.006192,0.3931889,0.5695364,0.0,0.2105263,5.5785124,1.0,<=18400.0
187.0,0.0,0.4513619,0.6951872,0.0,0.0967742,5.2993197,0.6666667,<=18400.0
40.0,0.0,0.443038,0.6,0.0,0.0625,6.3125,1.0,<=18400.0
4.0,0.0,0.3,0.5,0.0,0.0,5.25,0.0,<=18400.0
20.0,0.0,0.5957447,0.75,0.15,0.0,6.1538462,0.0,<=18400.0
51.0,0.0071429,0.4214286,0.7058824,0.0,0.1666667,5.9772727,1.0,<=18400.0
191.0,0.0,0.4178744,0.6387435,0.0,0.3043478,6.0465116,1.0,<=18400.0
230.0,0.0,0.4337568,0.6782609,0.0,0.2142857,5.5828571,0.5,<=18400.0
128.0,0.0,0.4290429,0.6328125,0.0,0.25,6.0178571,0.8,<=18400.0
142.0,0.0,0.4689441,0.5985915,0.0,0.1351351,5.8425926,0.8,<=18400.0
209.0,0.0,0.4513761,0.7272727,0.0047847,0.1764706,5.1853933,0.6666667,<=18400.0
501.0,0.000994,0.4199801,0.8642715,0.001996,0.04,4.8856448,0.5,<=18400.0
110.0,0.0,0.3562232,0.6181818,0.0,0.2631579,6.225,0.6,<=18400.0
501.0,0.0009058,0.4202899,0.6007984,0.0,0.2467532,5.9716714,0.7368421,<=18400.0
163.0,0.0078329,0.4151436,0.6625767,0.0,0.1428571,6.0083333,1.0,<=18400.0
44.0,0.0074627,0.4477612,0.7045455,0.0,0.6666667,5.4,0.5,<=18400.0
18.0,0.0,0.5111111,0.6666667,0.0,0.0,4.5333333,0.0,<=18400.0
23.0,0.0,0.2340426,0.3913043,0.9565217,0.0,4.75,0.0,<=18400.0
182.0,0.0023364,0.5070093,0.7087912,0.0,0.0952381,5.0131579,0.5,<=18400.0
48.0,0.0,0.4695652,0.6875,0.0,0.0,5.7058824,0.0,<=18400.0
49.0,0.0124224,0.4596273,0.7959184,0.0,0.0526316,6.2972973,1.0,<=18400.0
11.0,0.0,0.5172414,0.9090909,0.0,0.0,5.8,0.0,<=18400.0
131.0,0.0,0.4634146,0.6412214,0.0,0.2608696,6.4949495,0.8333333,<=18400.0
85.0,0.0437158,0.5136612,0.6823529,0.0,0.0833333,5.609375,1.0,<=18400.0
160.0,0.0026525,0.4509284,0.71875,0.0,0.0,5.8188406,0.0,<=18400.0
23.0,0.0,0.5185185,0.6956522,0.0,0.6666667,5.3181818,0.5,<=18400.0
90.0,0.0,0.4746544,0.6888889,0.0,0.0,5.9142857,0.0,<=18400.0
2040.0,0.0027441,0.4338533,0.8019608,0.0058824,0.120332,5.0683183,0.7241379,<=18400.0
278.0,0.0028249,0.4194915,0.6366906,0.0,0.1707317,6.4507042,0.7142857,<=18400.0
255.0,0.0016313,0.4486134,0.6745098,0.0,0.0638298,5.745098,0.6666667,<=18400.0
399.0,0.0,0.4662162,0.6691729,0.0,0.2394366,6.14791,0.7058824,<=18400.0
25.0,0.0,0.46875,0.72,0.0,0.0,6.3181818,0.0,<=18400.0
46.0,0.0,0.4609375,0.7608696,0.0,0.25,5.0,1.0,<=18400.0
10.0,0.0,0.5652174,0.6,0.0,0.0,5.1428571,0.0,<=18400.0
95.0,0.0,0.4179894,0.5263158,0.0,0.0833333,6.1636364,1.0,<=18400.0
114.0,0.0,0.4448399,0.7368421,0.0,0.0689655,4.6595745,0.8333333,<=18400.0
43.0,0.0,0.53125,0.627907,0.0,0.2,4.9677419,0.0,<=18400.0
95.0,0.0,0.4528302,0.6421053,0.0,0.0454545,5.325,1.0,<=18400.0
164.0,0.0,0.4278215,0.6646341,0.0,0.4,5.7210884,1.0,<=18400.0
20.0,0.0,0.3877551,0.8,0.0,0.1666667,6.9473684,1.0,<=18400.0
72.0,0.0,0.4739583,0.7222222,0.0277778,0.25,5.9285714,0.5,<=18400.0
11.0,0.0,0.4193548,0.7272727,0.0,0.1428571,6.8333333,0.0,<=18400.0
108.0,0.0,0.4432234,0.6851852,0.0,0.0769231,5.8736842,1.0,<=18400.0
459.0,0.0,0.4803738,0.6666667,0.0,0.0689655,5.5476839,1.0,<=18400.0
219.0,0.0,0.4698276,0.5890411,0.0,0.0425532,4.986755,0.5,<=18400.0
87.0,0.012987,0.4848485,0.7816092,0.0,0.1304348,5.8709677,0.6666667,<=18400.0
329.0,0.0,0.3892529,0.6170213,0.0,0.326087,5.9702128,1.0,<=18400.0
76.0,0.0,0.483871,0.6447368,0.0,0.0,5.484375,0.0,<=18400.0
244.0,0.0015385,0.4692308,0.7213115,0.2418033,0.1296296,5.4230769,0.8571429,<=18400.0
67.0,0.0,0.5341615,0.7014925,0.0298507,0.0625,5.1016949,1.0,<=18400.0
32.0,0.0,0.5066667,0.625,0.0,0.0,5.4666667,0.0,<=18400.0
82.0,0.0,0.4378378,0.695122,0.0,0.0,6.4428571,0.0,<=18400.0
137.0,0.0066225,0.4139073,0.5766423,0.0,0.0769231,5.4368932,1.0,<=18400.0
426.0,0.0019175,0.4487057,0.7018779,0.0751174,0.0612245,5.2932099,0.6666667,<=18400.0
